Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRAUSM,Australia Total Foreign Exchange Reserves Excluding Gold,International Liquidity,United States Dollar,Australia,,,,,,,National Currency,Millions,Stock,None,Monthly From Jan 1957 To Jan 2020<BR>,Source: World Bank,
Date,Ticker,Close,Percent_Gdp
01/31/1957,FXRAUSM,895.45,8.27
02/28/1957,FXRAUSM,954.45,8.81
03/31/1957,FXRAUSM,1026.45,9.48
04/30/1957,FXRAUSM,1104.45,10.2
05/31/1957,FXRAUSM,1148.45,10.61
06/30/1957,FXRAUSM,1161.45,10.73
07/31/1957,FXRAUSM,1159.45,10.71
08/31/1957,FXRAUSM,1152.45,10.64
09/30/1957,FXRAUSM,1166.45,10.77
10/31/1957,FXRAUSM,1185.45,10.95
11/30/1957,FXRAUSM,1203.45,11.11
12/31/1957,FXRAUSM,1203.45,10.21
01/31/1958,FXRAUSM,1183.45,10.04
02/28/1958,FXRAUSM,1162.45,9.86
03/31/1958,FXRAUSM,1142.45,9.69
04/30/1958,FXRAUSM,1069.45,9.07
05/31/1958,FXRAUSM,1079.45,9.16
06/30/1958,FXRAUSM,1038.45,8.81
07/31/1958,FXRAUSM,968.45,8.22
08/31/1958,FXRAUSM,934.45,7.93
09/30/1958,FXRAUSM,912.45,7.74
10/31/1958,FXRAUSM,912.45,7.74
11/30/1958,FXRAUSM,932.45,7.91
12/31/1958,FXRAUSM,944.45,7.83
01/31/1959,FXRAUSM,934.45,7.75
02/28/1959,FXRAUSM,934.45,7.75
03/31/1959,FXRAUSM,951.45,7.89
04/30/1959,FXRAUSM,1000.45,8.3
05/31/1959,FXRAUSM,1036.45,8.59
06/30/1959,FXRAUSM,1022.53,8.48
07/31/1959,FXRAUSM,999.53,8.29
08/31/1959,FXRAUSM,983.53,8.16
09/30/1959,FXRAUSM,1031.54,8.55
10/31/1959,FXRAUSM,1050.54,8.71
11/30/1959,FXRAUSM,1080.54,8.96
12/31/1959,FXRAUSM,1095.54,5.21
01/31/1960,FXRAUSM,1072.54,5.1
02/29/1960,FXRAUSM,1075.54,5.12
03/31/1960,FXRAUSM,1085.54,5.16
04/30/1960,FXRAUSM,1067.54,5.08
05/31/1960,FXRAUSM,1096.55,5.22
06/30/1960,FXRAUSM,1045.54,4.97
07/31/1960,FXRAUSM,976.54,4.65
08/31/1960,FXRAUSM,881.54,4.19
09/30/1960,FXRAUSM,838.54,3.99
10/31/1960,FXRAUSM,815.54,3.88
11/30/1960,FXRAUSM,791.54,3.77
12/31/1960,FXRAUSM,742.55,4.29
01/31/1961,FXRAUSM,841.56,4.86
02/28/1961,FXRAUSM,734.56,4.24
03/31/1961,FXRAUSM,765.56,4.42
04/30/1961,FXRAUSM,754,4.36
05/31/1961,FXRAUSM,1010,5.84
06/30/1961,FXRAUSM,1052,6.08
07/31/1961,FXRAUSM,1107,6.4
08/31/1961,FXRAUSM,1100,6.36
09/30/1961,FXRAUSM,1105,6.39
10/31/1961,FXRAUSM,1113,6.43
11/30/1961,FXRAUSM,1129,6.52
12/31/1961,FXRAUSM,1158,6.64
01/31/1962,FXRAUSM,1144,6.56
02/28/1962,FXRAUSM,1169,6.7
03/31/1962,FXRAUSM,1081.57,6.2
04/30/1962,FXRAUSM,1106.57,6.34
05/31/1962,FXRAUSM,1135.57,6.51
06/30/1962,FXRAUSM,1125.18,6.45
07/31/1962,FXRAUSM,1153.18,6.61
08/31/1962,FXRAUSM,1129.18,6.47
09/30/1962,FXRAUSM,1116.18,6.4
10/31/1962,FXRAUSM,1138.18,6.52
11/30/1962,FXRAUSM,1130.18,6.48
12/31/1962,FXRAUSM,1168.18,6.31
01/31/1963,FXRAUSM,1169.18,6.31
02/28/1963,FXRAUSM,1189.18,6.42
03/31/1963,FXRAUSM,1171.18,6.32
04/30/1963,FXRAUSM,1245,6.72
05/31/1963,FXRAUSM,1250,6.75
06/30/1963,FXRAUSM,1272,6.87
07/31/1963,FXRAUSM,1278,6.9
08/31/1963,FXRAUSM,1305,7.05
09/30/1963,FXRAUSM,1354,7.31
10/31/1963,FXRAUSM,1442,7.78
11/30/1963,FXRAUSM,1545,8.34
12/31/1963,FXRAUSM,1634,8.08
01/31/1964,FXRAUSM,1661,8.21
02/29/1964,FXRAUSM,1706,8.43
03/31/1964,FXRAUSM,1692,8.36
04/30/1964,FXRAUSM,1714.02,8.47
05/31/1964,FXRAUSM,1781.02,8.8
06/30/1964,FXRAUSM,1755.02,8.67
07/31/1964,FXRAUSM,1738.02,8.59
08/31/1964,FXRAUSM,1706.02,8.43
09/30/1964,FXRAUSM,1709.02,8.45
10/31/1964,FXRAUSM,1729.02,8.55
11/30/1964,FXRAUSM,1731.02,8.56
12/31/1964,FXRAUSM,1680.02,7.58
01/31/1965,FXRAUSM,1627,7.34
02/28/1965,FXRAUSM,1607,7.25
03/31/1965,FXRAUSM,1509.52,6.81
04/30/1965,FXRAUSM,1470.02,6.64
05/31/1965,FXRAUSM,1432.02,6.46
06/30/1965,FXRAUSM,1412.02,6.37
07/31/1965,FXRAUSM,1346.02,6.08
08/31/1965,FXRAUSM,1307.02,5.9
09/30/1965,FXRAUSM,1287.02,5.81
10/31/1965,FXRAUSM,1290.02,5.82
11/30/1965,FXRAUSM,1340.03,6.05
12/31/1965,FXRAUSM,1317.03,5.52
01/31/1966,FXRAUSM,1313.03,5.5
02/28/1966,FXRAUSM,1339.03,5.61
03/31/1966,FXRAUSM,1341.03,5.62
04/30/1966,FXRAUSM,1402.04,5.88
05/31/1966,FXRAUSM,1476.04,6.19
06/30/1966,FXRAUSM,1488.04,6.24
07/31/1966,FXRAUSM,1491.04,6.25
08/31/1966,FXRAUSM,1466.04,6.14
09/30/1966,FXRAUSM,1386.04,5.81
10/31/1966,FXRAUSM,1388.04,5.82
11/30/1966,FXRAUSM,1375.04,5.76
12/31/1966,FXRAUSM,1344.04,5.25
01/31/1967,FXRAUSM,1271.04,4.97
02/28/1967,FXRAUSM,1266.04,4.95
03/31/1967,FXRAUSM,1198.3,4.69
04/30/1967,FXRAUSM,1202.3,4.7
05/31/1967,FXRAUSM,1228.5,4.8
