Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRNZLM,New Zealand Total Foreign Exchange Reserves Excluding Gold,International Liquidity,United States Dollar,New Zealand,,,,,,,National Currency,Millions,Stock,None,Monthly From Sep 1967 To Jan 2020<BR>,Source: World Bank,
Date,Ticker,Close,Percent_Gdp
09/30/1967,FXRNZLM,196,4.85
10/31/1967,FXRNZLM,183,4.53
11/30/1967,FXRNZLM,196,4.85
12/31/1967,FXRNZLM,218,5.21
01/31/1968,FXRNZLM,235,5.62
02/29/1968,FXRNZLM,242,5.79
03/31/1968,FXRNZLM,246,5.88
04/30/1968,FXRNZLM,270,6.45
05/31/1968,FXRNZLM,262,6.26
06/30/1968,FXRNZLM,254,6.07
07/31/1968,FXRNZLM,263,6.29
08/30/1968,FXRNZLM,274,6.55
09/30/1968,FXRNZLM,228,5.45
10/31/1968,FXRNZLM,229,5.47
11/30/1968,FXRNZLM,213,5.09
12/31/1968,FXRNZLM,161,3.63
01/31/1969,FXRNZLM,156,3.52
02/28/1969,FXRNZLM,179,4.04
03/31/1969,FXRNZLM,201,4.53
04/30/1969,FXRNZLM,237,5.34
05/31/1969,FXRNZLM,254,5.73
06/30/1969,FXRNZLM,251,5.66
07/31/1969,FXRNZLM,240,5.41
08/31/1969,FXRNZLM,226,5.09
09/30/1969,FXRNZLM,223,5.03
10/31/1969,FXRNZLM,240,5.41
11/30/1969,FXRNZLM,250,5.64
12/31/1969,FXRNZLM,209,4.07
01/31/1970,FXRNZLM,231.39,4.51
02/28/1970,FXRNZLM,220.39,4.29
03/31/1970,FXRNZLM,252.39,4.92
04/30/1970,FXRNZLM,260.38,5.07
05/31/1970,FXRNZLM,269.38,5.25
06/30/1970,FXRNZLM,267.38,5.21
07/31/1970,FXRNZLM,285.38,5.56
08/31/1970,FXRNZLM,271.38,5.29
09/30/1970,FXRNZLM,286.62,5.58
10/31/1970,FXRNZLM,290.62,5.66
11/30/1970,FXRNZLM,281.63,5.49
12/31/1970,FXRNZLM,256.88,4.4
01/31/1971,FXRNZLM,276.49,4.74
02/28/1971,FXRNZLM,283.49,4.86
03/31/1971,FXRNZLM,298.49,5.12
04/30/1971,FXRNZLM,358.24,6.14
05/31/1971,FXRNZLM,393.24,6.74
06/30/1971,FXRNZLM,409.24,7.02
07/31/1971,FXRNZLM,448.25,7.69
08/31/1971,FXRNZLM,452.25,7.75
09/30/1971,FXRNZLM,487.25,8.35
10/31/1971,FXRNZLM,484.25,8.3
11/30/1971,FXRNZLM,481.26,8.25
12/31/1971,FXRNZLM,491.968,7.16
01/31/1972,FXRNZLM,522.566,7.6
02/29/1972,FXRNZLM,575.566,8.37
03/31/1972,FXRNZLM,662.566,9.64
04/30/1972,FXRNZLM,725.197,10.55
05/31/1972,FXRNZLM,772.197,11.23
06/30/1972,FXRNZLM,820.626,11.94
07/31/1972,FXRNZLM,828.626,12.05
08/31/1972,FXRNZLM,845.626,12.3
09/30/1972,FXRNZLM,835.169,12.15
10/31/1972,FXRNZLM,876.169,12.75
11/30/1972,FXRNZLM,817.18,11.89
12/31/1972,FXRNZLM,832.18,10.53
01/31/1973,FXRNZLM,918.18,11.62
02/28/1973,FXRNZLM,1040.31,13.17
03/31/1973,FXRNZLM,1064.31,13.47
04/30/1973,FXRNZLM,1167.09,14.77
05/31/1973,FXRNZLM,1319.09,16.7
06/30/1973,FXRNZLM,1348.09,17.06
07/31/1973,FXRNZLM,1306.09,16.53
08/31/1973,FXRNZLM,1286.09,16.28
09/30/1973,FXRNZLM,1268.09,16.05
10/31/1973,FXRNZLM,1185.11,15
11/30/1973,FXRNZLM,1125.11,14.24
12/31/1973,FXRNZLM,1045.11,11.36
01/31/1974,FXRNZLM,1045.11,11.36
02/28/1974,FXRNZLM,1016.11,11.05
03/31/1974,FXRNZLM,1046.11,11.37
04/30/1974,FXRNZLM,1034.89,11.25
05/31/1974,FXRNZLM,898.901,9.77
06/30/1974,FXRNZLM,739.901,8.04
07/31/1974,FXRNZLM,726.964,7.9
08/31/1974,FXRNZLM,619.125,6.73
09/30/1974,FXRNZLM,696.128,7.57
10/31/1974,FXRNZLM,645.135,7.01
11/30/1974,FXRNZLM,663.628,7.21
12/31/1974,FXRNZLM,638.637,6.33
01/31/1975,FXRNZLM,675.496,6.69
02/28/1975,FXRNZLM,666.504,6.6
03/31/1975,FXRNZLM,681.449,6.75
04/30/1975,FXRNZLM,594.004,5.88
05/31/1975,FXRNZLM,589.736,5.84
06/30/1975,FXRNZLM,609.729,6.04
07/31/1975,FXRNZLM,589.405,5.84
08/31/1975,FXRNZLM,579.962,5.75
09/30/1975,FXRNZLM,455.867,4.52
10/31/1975,FXRNZLM,506.957,5.02
11/30/1975,FXRNZLM,579.696,5.74
