Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRGBRM,United Kingdom Total Foreign Exchange Reserves Excluding Gold,International Liquidity,United States Dollar,United Kingdom,,,,,,,National Currency,Millions,Stock,None,Monthly From Jan 1957 To Jan 2020<BR>,Source: World Bank,
Date,Ticker,Close,Percent_Gdp
01/31/1957,FXRGBRM,312.47,1.48
02/28/1957,FXRGBRM,379.375,1.8
03/31/1957,FXRGBRM,432.205,2.05
04/30/1957,FXRGBRM,425.99,2.02
05/31/1957,FXRGBRM,437.75,2.08
06/30/1957,FXRGBRM,479.01,2.28
07/31/1957,FXRGBRM,480.575,2.28
08/31/1957,FXRGBRM,346.675,1.65
09/30/1957,FXRGBRM,203.095,0.96
10/31/1957,FXRGBRM,552.47,2.62
11/30/1957,FXRGBRM,620.33,2.95
12/31/1957,FXRGBRM,719.16,3.22
01/31/1958,FXRGBRM,814.775,3.65
02/28/1958,FXRGBRM,729.835,3.27
03/31/1958,FXRGBRM,615.485,2.76
04/30/1958,FXRGBRM,411.065,1.84
05/31/1958,FXRGBRM,414.365,1.86
06/30/1958,FXRGBRM,391.415,1.75
07/31/1958,FXRGBRM,405.29,1.82
08/31/1958,FXRGBRM,371.405,1.66
09/30/1958,FXRGBRM,407.62,1.83
10/31/1958,FXRGBRM,360.755,1.62
11/30/1958,FXRGBRM,389.08,1.74
12/31/1958,FXRGBRM,260.79,1.11
01/31/1959,FXRGBRM,315.095,1.34
02/28/1959,FXRGBRM,345.165,1.47
03/31/1959,FXRGBRM,378.305,1.61
04/30/1959,FXRGBRM,403.575,1.72
05/31/1959,FXRGBRM,367.23,1.57
06/30/1959,FXRGBRM,364.755,1.56
07/31/1959,FXRGBRM,383.18,1.63
08/31/1959,FXRGBRM,410.34,1.75
09/30/1959,FXRGBRM,430.835,1.84
10/31/1959,FXRGBRM,265.37,1.13
11/30/1959,FXRGBRM,258.265,1.1
12/31/1959,FXRGBRM,285.915,1.16
01/31/1960,FXRGBRM,304.97,1.24
02/29/1960,FXRGBRM,372.7,1.52
03/31/1960,FXRGBRM,516.795,2.1
04/30/1960,FXRGBRM,411.755,1.67
05/31/1960,FXRGBRM,465.005,1.89
06/30/1960,FXRGBRM,531.225,2.16
07/31/1960,FXRGBRM,593.235,2.41
08/31/1960,FXRGBRM,703.06,2.86
09/30/1960,FXRGBRM,786.54,3.2
10/31/1960,FXRGBRM,886.715,3.6
11/30/1960,FXRGBRM,792.985,3.22
12/31/1960,FXRGBRM,918.02,3.48
01/31/1961,FXRGBRM,889.365,3.37
02/28/1961,FXRGBRM,783.86,2.97
03/31/1961,FXRGBRM,899.68,3.41
04/30/1961,FXRGBRM,845.305,3.2
05/31/1961,FXRGBRM,791.43,3
06/30/1961,FXRGBRM,869.31,3.29
07/31/1961,FXRGBRM,780.785,2.96
08/31/1961,FXRGBRM,1414.56,5.36
