Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRCANM,Canada Total Foreign Exchange Reserves Excluding Gold,International Liquidity,United States Dollar,Canada,,,,,,,National Currency,Millions,Stock,None,Monthly From Jan 1957 To Jan 2020<BR>,Source: World Bank,
Date,Ticker,Close,Percent_Gdp
01/31/1957,FXRCANM,934.62,2.84
02/28/1957,FXRCANM,929.02,2.82
03/31/1957,FXRCANM,929.02,2.82
04/30/1957,FXRCANM,905.22,2.75
05/31/1957,FXRCANM,934.32,2.84
06/30/1957,FXRCANM,951.12,2.89
07/31/1957,FXRCANM,977.02,2.97
08/31/1957,FXRCANM,950.72,2.89
09/30/1957,FXRCANM,897.52,2.73
10/31/1957,FXRCANM,927.32,2.82
11/30/1957,FXRCANM,898.72,2.73
12/31/1957,FXRCANM,835.82,2.43
01/31/1958,FXRCANM,862.72,2.51
02/28/1958,FXRCANM,888.02,2.58
03/31/1958,FXRCANM,886.12,2.58
04/30/1958,FXRCANM,888.32,2.59
05/31/1958,FXRCANM,926.22,2.7
06/30/1958,FXRCANM,950.92,2.77
07/31/1958,FXRCANM,958.12,2.79
08/31/1958,FXRCANM,951.82,2.77
09/30/1958,FXRCANM,917.72,2.67
10/31/1958,FXRCANM,950.22,2.77
11/30/1958,FXRCANM,957.81,2.79
12/31/1958,FXRCANM,968.21,2.66
01/31/1959,FXRCANM,932.61,2.56
02/28/1959,FXRCANM,910.51,2.5
03/31/1959,FXRCANM,923.61,2.53
04/30/1959,FXRCANM,947.11,2.6
05/31/1959,FXRCANM,950.11,2.61
06/30/1959,FXRCANM,966.91,2.65
07/31/1959,FXRCANM,962.41,2.64
08/31/1959,FXRCANM,978.01,2.68
09/30/1959,FXRCANM,1006.81,2.76
10/31/1959,FXRCANM,1076.81,2.95
11/30/1959,FXRCANM,1071.71,2.94
12/31/1959,FXRCANM,1077.21,2.79
01/31/1960,FXRCANM,1079.81,2.8
02/29/1960,FXRCANM,1075.21,2.79
03/31/1960,FXRCANM,1074.91,2.79
04/30/1960,FXRCANM,1065.91,2.76
05/31/1960,FXRCANM,986.71,2.56
06/30/1960,FXRCANM,1031.71,2.67
07/31/1960,FXRCANM,1084.21,2.81
08/31/1960,FXRCANM,1101.71,2.86
09/30/1960,FXRCANM,1089.92,2.82
10/31/1960,FXRCANM,1125.72,2.92
11/30/1960,FXRCANM,1123.62,2.91
12/31/1960,FXRCANM,1112.52,2.81
01/31/1961,FXRCANM,1168.82,2.95
02/28/1961,FXRCANM,1196.72,3.02
03/31/1961,FXRCANM,1221.44,3.08
04/30/1961,FXRCANM,1228.74,3.1
05/31/1961,FXRCANM,1234.44,3.11
06/30/1961,FXRCANM,1263.44,3.19
07/31/1961,FXRCANM,1233.34,3.11
08/31/1961,FXRCANM,1233.74,3.11
09/30/1961,FXRCANM,1233.64,3.11
10/31/1961,FXRCANM,1414.54,3.57
11/30/1961,FXRCANM,1373.24,3.46
12/31/1961,FXRCANM,1345.84,3.16
01/31/1962,FXRCANM,1207.64,2.84
02/28/1962,FXRCANM,1020.34,2.4
03/31/1962,FXRCANM,969.74,2.28
04/30/1962,FXRCANM,838.04,1.97
05/31/1962,FXRCANM,765.14,1.8
06/30/1962,FXRCANM,1163.2,2.73
