Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRHKGM,"Hong Kong, China Total Foreign Exchange Reserves Excluding Gold",International Liquidity,United States Dollar,Hong Kong,,,,,,,National Currency,Millions,Stock,None,Annual From Dec 1992 To Dec 1993<BR>Quarterly From Mar 1994 To Dec 1996<BR>Monthly From Jan 1997 To Jan 2020<BR>,Source: World Bank,
Date,Ticker,Close,Percent_Gdp
12/31/1992,FXRHKGM,35174,4.36
12/31/1993,FXRHKGM,42986,4.62
03/31/1994,FXRHKGM,46379,4.99
06/30/1994,FXRHKGM,47095,5.06
09/30/1994,FXRHKGM,47247,5.08
12/31/1994,FXRHKGM,49251,4.7
03/31/1995,FXRHKGM,52393,5
06/30/1995,FXRHKGM,53607,5.11
09/30/1995,FXRHKGM,51736,4.93
12/31/1995,FXRHKGM,55398,4.95
03/31/1996,FXRHKGM,58035,5.19
06/30/1996,FXRHKGM,57282,5.12
09/30/1996,FXRHKGM,55350,4.95
12/31/1996,FXRHKGM,63820.23,5.17
01/31/1997,FXRHKGM,65853.62,5.34
02/28/1997,FXRHKGM,63801.23,5.17
03/31/1997,FXRHKGM,63384.15,5.14
04/30/1997,FXRHKGM,63547.18,5.15
05/31/1997,FXRHKGM,66618.76,5.4
06/30/1997,FXRHKGM,67611.96,5.48
07/31/1997,FXRHKGM,81622.64,6.62
08/31/1997,FXRHKGM,85359.36,6.92
09/30/1997,FXRHKGM,88157.89,7.15
10/31/1997,FXRHKGM,91218.48,7.39
11/30/1997,FXRHKGM,96518.49,7.82
12/31/1997,FXRHKGM,92821.79,6.76
01/31/1998,FXRHKGM,98098.8,7.15
02/28/1998,FXRHKGM,96759.54,7.05
03/31/1998,FXRHKGM,96818.55,7.05
04/30/1998,FXRHKGM,96104.41,7
05/31/1998,FXRHKGM,96373.47,7.02
06/30/1998,FXRHKGM,96501.49,7.03
07/31/1998,FXRHKGM,96540.5,7.03
08/31/1998,FXRHKGM,92068.64,6.71
09/30/1998,FXRHKGM,88390.94,6.44
10/30/1998,FXRHKGM,88649,6.46
10/31/1998,FXRHKGM,88665.99,6.46
11/30/1998,FXRHKGM,88580.97,6.45
12/31/1998,FXRHKGM,89667.32,6.85
01/29/1999,FXRHKGM,90125.56,6.88
01/31/1999,FXRHKGM,90142.83,6.88
02/26/1999,FXRHKGM,89778.8,6.86
02/28/1999,FXRHKGM,89796.01,6.86
03/31/1999,FXRHKGM,89524.15,6.84
04/30/1999,FXRHKGM,89511.15,6.84
05/31/1999,FXRHKGM,88891.03,6.79
06/30/1999,FXRHKGM,88540.97,6.76
07/30/1999,FXRHKGM,89094,6.8
07/31/1999,FXRHKGM,89111.07,6.81
08/31/1999,FXRHKGM,89243.1,6.82
09/30/1999,FXRHKGM,90537.35,6.91
10/31/1999,FXRHKGM,90365.32,6.9
11/30/1999,FXRHKGM,92117.65,7.03
12/31/1999,FXRHKGM,96254.44,7.49
01/31/2000,FXRHKGM,94315.07,7.34
02/28/2000,FXRHKGM,93135.85,7.24
02/29/2000,FXRHKGM,93135.85,7.24
03/31/2000,FXRHKGM,93828.98,7.3
04/30/2000,FXRHKGM,93940,7.31
