Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRINDM,India Total Foreign Exchange Reserves Excluding Gold,International Liquidity,United States Dollar,India,,,,,,,National Currency,Millions,Stock,None,Monthly From Jan 1957 To Jan 2020<BR>,Source: World Bank,
Date,Ticker,Close,Percent_Gdp
01/31/1957,FXRINDM,1168.51,1.03
02/28/1957,FXRINDM,1159,1.03
03/31/1957,FXRINDM,1184,1.05
04/30/1957,FXRINDM,1121,0.99
05/31/1957,FXRINDM,1033,0.91
06/30/1957,FXRINDM,1027,0.91
07/31/1957,FXRINDM,921,0.82
08/31/1957,FXRINDM,876,0.78
09/30/1957,FXRINDM,815,0.72
10/31/1957,FXRINDM,770,0.68
11/30/1957,FXRINDM,735,0.65
12/31/1957,FXRINDM,695,0.6
01/31/1958,FXRINDM,672,0.58
02/28/1958,FXRINDM,664,0.57
03/31/1958,FXRINDM,638,0.55
04/30/1958,FXRINDM,629,0.54
05/31/1958,FXRINDM,585,0.5
06/30/1958,FXRINDM,534,0.46
07/31/1958,FXRINDM,480,0.41
08/31/1958,FXRINDM,468,0.4
09/30/1958,FXRINDM,457,0.39
10/31/1958,FXRINDM,447,0.38
11/30/1958,FXRINDM,458,0.39
12/31/1958,FXRINDM,475,0.37
01/31/1959,FXRINDM,482,0.37
02/28/1959,FXRINDM,532,0.41
03/31/1959,FXRINDM,549,0.42
04/30/1959,FXRINDM,523,0.4
05/31/1959,FXRINDM,511,0.39
06/30/1959,FXRINDM,501,0.39
07/31/1959,FXRINDM,487,0.38
08/31/1959,FXRINDM,492,0.38
09/30/1959,FXRINDM,492,0.38
10/31/1959,FXRINDM,536,0.41
11/30/1959,FXRINDM,546,0.42
12/31/1959,FXRINDM,567,0.41
01/31/1960,FXRINDM,565,0.41
02/29/1960,FXRINDM,525,0.38
03/31/1960,FXRINDM,515,0.38
04/30/1960,FXRINDM,496,0.36
05/31/1960,FXRINDM,465,0.34
06/30/1960,FXRINDM,440,0.32
07/31/1960,FXRINDM,426,0.31
08/31/1960,FXRINDM,406,0.3
09/30/1960,FXRINDM,400,0.29
10/31/1960,FXRINDM,409,0.3
11/30/1960,FXRINDM,430,0.31
12/31/1960,FXRINDM,423,0.28
01/31/1961,FXRINDM,418,0.28
02/28/1961,FXRINDM,427,0.29
03/31/1961,FXRINDM,391,0.26
04/30/1961,FXRINDM,360,0.24
05/31/1961,FXRINDM,374,0.25
06/30/1961,FXRINDM,345.15,0.23
07/31/1961,FXRINDM,299.15,0.2
08/31/1961,FXRINDM,388,0.26
09/30/1961,FXRINDM,367,0.25
10/31/1961,FXRINDM,389,0.26
11/30/1961,FXRINDM,406,0.27
12/31/1961,FXRINDM,418,0.26
01/31/1962,FXRINDM,392,0.25
02/28/1962,FXRINDM,388,0.24
03/31/1962,FXRINDM,378,0.24
04/30/1962,FXRINDM,329,0.21
05/31/1962,FXRINDM,279,0.18
