Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRKORM,"Korea, Rep. Total Foreign Exchange Reserves Excluding Gold",International Liquidity,United States Dollar,"Korea, Republic Of",,,,,,,National Currency,Millions,Stock,None,Monthly From Jan 1957 To Feb 2020<BR>,Source: World Bank,
Date,Ticker,Close,Percent_Gdp
01/31/1957,FXRKORM,98.9,0.07
02/28/1957,FXRKORM,101.4,0.07
03/31/1957,FXRKORM,102.9,0.07
04/30/1957,FXRKORM,103.7,0.07
05/31/1957,FXRKORM,103.8,0.07
06/30/1957,FXRKORM,104.9,0.07
07/31/1957,FXRKORM,104.7,0.07
08/31/1957,FXRKORM,105,0.07
09/30/1957,FXRKORM,104.3,0.07
10/31/1957,FXRKORM,107.9,0.07
11/30/1957,FXRKORM,110.7,0.07
12/31/1957,FXRKORM,114.1,0.06
01/31/1958,FXRKORM,118,0.06
02/28/1958,FXRKORM,118.9,0.06
03/31/1958,FXRKORM,120,0.06
04/30/1958,FXRKORM,122.6,0.06
05/31/1958,FXRKORM,114.9,0.06
06/30/1958,FXRKORM,116.9,0.06
07/31/1958,FXRKORM,120.2,0.06
08/31/1958,FXRKORM,124,0.06
09/30/1958,FXRKORM,126.7,0.06
10/31/1958,FXRKORM,130,0.07
11/30/1958,FXRKORM,134.4,0.07
12/31/1958,FXRKORM,144.9,0.07
01/31/1959,FXRKORM,146.2,0.07
02/28/1959,FXRKORM,145.4,0.07
03/31/1959,FXRKORM,147.8,0.07
04/30/1959,FXRKORM,149.1,0.07
05/31/1959,FXRKORM,143.1,0.07
06/30/1959,FXRKORM,145.1,0.07
07/31/1959,FXRKORM,146.9,0.07
08/31/1959,FXRKORM,148.4,0.07
09/30/1959,FXRKORM,149,0.07
10/31/1959,FXRKORM,149.9,0.07
11/30/1959,FXRKORM,145.1,0.07
12/31/1959,FXRKORM,145.5,0.07
01/31/1960,FXRKORM,144.1,0.07
02/29/1960,FXRKORM,142,0.07
03/31/1960,FXRKORM,139.3,0.06
04/30/1960,FXRKORM,139.1,0.06
05/31/1960,FXRKORM,134,0.06
06/30/1960,FXRKORM,137.3,0.06
07/31/1960,FXRKORM,139,0.06
08/31/1960,FXRKORM,142.8,0.07
09/30/1960,FXRKORM,147.6,0.07
10/31/1960,FXRKORM,151.6,0.07
11/30/1960,FXRKORM,153,0.07
12/31/1960,FXRKORM,155.2,0.06
01/31/1961,FXRKORM,155.3,0.06
02/28/1961,FXRKORM,153.2,0.06
03/31/1961,FXRKORM,167.9,0.07
04/30/1961,FXRKORM,170.9,0.07
05/31/1961,FXRKORM,174.3,0.07
06/30/1961,FXRKORM,177.5,0.07
07/31/1961,FXRKORM,181.5,0.07
08/31/1961,FXRKORM,193.9,0.08
09/30/1961,FXRKORM,196.8,0.08
10/31/1961,FXRKORM,200.8,0.08
11/30/1961,FXRKORM,205.6,0.08
12/31/1961,FXRKORM,205.2,0.07
01/31/1962,FXRKORM,208.4,0.07
02/28/1962,FXRKORM,212.1,0.07
03/31/1962,FXRKORM,211.8,0.07
04/30/1962,FXRKORM,206.2,0.07
05/31/1962,FXRKORM,198,0.07
06/30/1962,FXRKORM,192.4,0.07
07/31/1962,FXRKORM,184.5,0.06
08/31/1962,FXRKORM,177.2,0.06
09/30/1962,FXRKORM,172.3,0.06
10/31/1962,FXRKORM,168.5,0.06
11/30/1962,FXRKORM,164.8,0.06
12/31/1962,FXRKORM,166.8,0.05
01/31/1963,FXRKORM,152.5,0.04
02/28/1963,FXRKORM,139.8,0.04
03/31/1963,FXRKORM,137,0.04
04/30/1963,FXRKORM,129.3,0.04
05/31/1963,FXRKORM,120.8,0.03
06/30/1963,FXRKORM,109.5,0.03
07/31/1963,FXRKORM,105.8,0.03
08/31/1963,FXRKORM,106.7,0.03
09/30/1963,FXRKORM,105.4,0.03
10/31/1963,FXRKORM,106.2,0.03
11/30/1963,FXRKORM,119.6,0.03
12/31/1963,FXRKORM,129.6,0.03
01/31/1964,FXRKORM,134.1,0.03
02/29/1964,FXRKORM,133.8,0.03
03/31/1964,FXRKORM,133.3,0.03
04/30/1964,FXRKORM,130.8,0.03
05/31/1964,FXRKORM,131.6,0.03
06/30/1964,FXRKORM,132.28,0.03
07/31/1964,FXRKORM,128.88,0.03
08/31/1964,FXRKORM,124.88,0.02
09/30/1964,FXRKORM,125.68,0.03
10/31/1964,FXRKORM,131.48,0.03
11/30/1964,FXRKORM,128.68,0.03
12/31/1964,FXRKORM,133.58,0.02
01/31/1965,FXRKORM,136.18,0.02
02/28/1965,FXRKORM,133.98,0.02
03/31/1965,FXRKORM,121.68,0.02
04/30/1965,FXRKORM,119.59,0.02
05/31/1965,FXRKORM,117.29,0.02
06/30/1965,FXRKORM,114.69,0.02
07/31/1965,FXRKORM,114.69,0.02
08/31/1965,FXRKORM,118.29,0.02
09/30/1965,FXRKORM,123.49,0.02
10/31/1965,FXRKORM,128.29,0.02
11/30/1965,FXRKORM,134.59,0.02
12/31/1965,FXRKORM,142.99,0.02
01/31/1966,FXRKORM,146.99,0.02
02/28/1966,FXRKORM,149.3,0.02
03/31/1966,FXRKORM,154.8,0.02
04/30/1966,FXRKORM,160.1,0.02
05/31/1966,FXRKORM,155.8,0.02
06/30/1966,FXRKORM,166.9,0.02
07/31/1966,FXRKORM,175,0.02
08/31/1966,FXRKORM,186,0.02
09/30/1966,FXRKORM,196.8,0.02
10/31/1966,FXRKORM,210,0.03
11/30/1966,FXRKORM,223.4,0.03
12/31/1966,FXRKORM,241.81,0.02
01/31/1967,FXRKORM,252,0.02
02/28/1967,FXRKORM,268,0.03
03/31/1967,FXRKORM,271.1,0.03
04/30/1967,FXRKORM,294,0.03
05/31/1967,FXRKORM,312,0.03
06/30/1967,FXRKORM,302.8,0.03
07/31/1967,FXRKORM,309.7,0.03
08/30/1967,FXRKORM,309.22,0.03
09/30/1967,FXRKORM,301.32,0.03
10/31/1967,FXRKORM,314.82,0.03
11/30/1967,FXRKORM,330.22,0.03
12/31/1967,FXRKORM,353.22,0.03
01/31/1968,FXRKORM,357.82,0.03
02/29/1968,FXRKORM,359.82,0.03
03/31/1968,FXRKORM,374.22,0.03
04/30/1968,FXRKORM,386.52,0.03
05/31/1968,FXRKORM,386.52,0.03
06/30/1968,FXRKORM,376.22,0.03
07/31/1968,FXRKORM,380.52,0.03
08/30/1968,FXRKORM,350.02,0.03
09/30/1968,FXRKORM,358.82,0.03
10/31/1968,FXRKORM,367.32,0.03
11/30/1968,FXRKORM,355.02,0.03
12/31/1968,FXRKORM,387.72,0.02
01/31/1969,FXRKORM,382.92,0.02
02/28/1969,FXRKORM,377.42,0.02
03/31/1969,FXRKORM,373.12,0.02
04/30/1969,FXRKORM,372.22,0.02
05/31/1969,FXRKORM,389.32,0.02
06/30/1969,FXRKORM,408.82,0.03
07/31/1969,FXRKORM,443.22,0.03
08/31/1969,FXRKORM,471.22,0.03
09/30/1969,FXRKORM,529.12,0.03
10/31/1969,FXRKORM,522.62,0.03
11/30/1969,FXRKORM,524.32,0.03
12/31/1969,FXRKORM,549.52,0.03
01/31/1970,FXRKORM,537.92,0.03
02/28/1970,FXRKORM,542.46,0.03
03/31/1970,FXRKORM,550.91,0.03
04/30/1970,FXRKORM,551.69,0.03
05/31/1970,FXRKORM,557.79,0.03
06/30/1970,FXRKORM,598.59,0.03
07/31/1970,FXRKORM,599.99,0.03
08/31/1970,FXRKORM,614.39,0.03
09/30/1970,FXRKORM,614.79,0.03
10/31/1970,FXRKORM,584.91,0.03
11/30/1970,FXRKORM,586.91,0.03
12/31/1970,FXRKORM,606.31,0.02
01/31/1971,FXRKORM,590.5,0.02
02/28/1971,FXRKORM,563.1,0.02
03/31/1971,FXRKORM,566.7,0.02
04/30/1971,FXRKORM,566.93,0.02
05/31/1971,FXRKORM,570.43,0.02
06/30/1971,FXRKORM,578.03,0.02
07/31/1971,FXRKORM,575.53,0.02
08/31/1971,FXRKORM,571.93,0.02
09/30/1971,FXRKORM,568.63,0.02
10/31/1971,FXRKORM,553.13,0.02
11/30/1971,FXRKORM,568.33,0.02
12/31/1971,FXRKORM,433.512,0.01
01/31/1972,FXRKORM,431.532,0.01
02/29/1972,FXRKORM,404.632,0.01
03/31/1972,FXRKORM,375.532,0.01
04/30/1972,FXRKORM,372.898,0.01
05/31/1972,FXRKORM,380.698,0.01
06/30/1972,FXRKORM,415.598,0.01
07/31/1972,FXRKORM,457.598,0.01
08/31/1972,FXRKORM,491.098,0.01
09/30/1972,FXRKORM,521.898,0.02
10/31/1972,FXRKORM,545.098,0.02
11/30/1972,FXRKORM,548.098,0.02
12/31/1972,FXRKORM,522.998,0.01
01/31/1973,FXRKORM,569.098,0.01
02/28/1973,FXRKORM,572.453,0.01
03/31/1973,FXRKORM,514.253,0.01
04/30/1973,FXRKORM,534.577,0.01
05/31/1973,FXRKORM,574.477,0.01
06/30/1973,FXRKORM,602.377,0.01
07/31/1973,FXRKORM,622.277,0.01
08/31/1973,FXRKORM,702.677,0.02
09/30/1973,FXRKORM,792.577,0.02
10/31/1973,FXRKORM,819.877,0.02
11/30/1973,FXRKORM,884.913,0.02
12/31/1973,FXRKORM,884.813,0.02
01/31/1974,FXRKORM,881.813,0.02
02/28/1974,FXRKORM,829.813,0.02
03/31/1974,FXRKORM,763.013,0.01
04/30/1974,FXRKORM,685.673,0.01
05/31/1974,FXRKORM,607.437,0.01
06/30/1974,FXRKORM,569.037,0.01
07/31/1974,FXRKORM,443.981,0.01
08/31/1974,FXRKORM,394.554,0.01
09/30/1974,FXRKORM,299.489,0.01
10/31/1974,FXRKORM,230.295,0
11/30/1974,FXRKORM,205.333,0
12/31/1974,FXRKORM,277.19,0
01/31/1975,FXRKORM,283.848,0
02/28/1975,FXRKORM,321.985,0
03/31/1975,FXRKORM,300.92,0
04/30/1975,FXRKORM,441.197,0.01
05/31/1975,FXRKORM,434.254,0.01
06/30/1975,FXRKORM,493.228,0.01
07/31/1975,FXRKORM,548.368,0.01
08/31/1975,FXRKORM,644.154,0.01
09/30/1975,FXRKORM,719.988,0.01
10/31/1975,FXRKORM,821.051,0.01
11/30/1975,FXRKORM,835.423,0.01
12/31/1975,FXRKORM,781.322,0.01
01/31/1976,FXRKORM,786.015,0.01
02/29/1976,FXRKORM,887.356,0.01
03/31/1976,FXRKORM,962.263,0.01
04/30/1976,FXRKORM,1038.48,0.01
05/31/1976,FXRKORM,1104.87,0.01
06/30/1976,FXRKORM,1178.25,0.01
07/31/1976,FXRKORM,1324.26,0.01
08/30/1976,FXRKORM,1429.55,0.01
09/30/1976,FXRKORM,1544.88,0.01
10/31/1976,FXRKORM,1743.6,0.02
11/30/1976,FXRKORM,1751.68,0.02
12/31/1976,FXRKORM,1970.01,0.01
01/31/1977,FXRKORM,1973.55,0.01
02/28/1977,FXRKORM,1953.61,0.01
03/31/1977,FXRKORM,2087.53,0.01
04/30/1977,FXRKORM,2138.32,0.01
05/31/1977,FXRKORM,2325.71,0.02
06/30/1977,FXRKORM,2384.61,0.02
07/31/1977,FXRKORM,2632.15,0.02
08/31/1977,FXRKORM,2725.7,0.02
09/30/1977,FXRKORM,2909.61,0.02
10/31/1977,FXRKORM,2957.21,0.02
11/30/1977,FXRKORM,2887.6,0.02
12/31/1977,FXRKORM,2967.1,0.02
01/31/1978,FXRKORM,2978.6,0.02
02/28/1978,FXRKORM,2884.42,0.02
03/31/1978,FXRKORM,2644.52,0.01
04/30/1978,FXRKORM,2331.68,0.01
05/31/1978,FXRKORM,2334.39,0.01
06/30/1978,FXRKORM,2435.52,0.01
07/31/1978,FXRKORM,2544.62,0.01
08/31/1978,FXRKORM,2583.76,0.01
09/30/1978,FXRKORM,2612.39,0.01
10/31/1978,FXRKORM,2508.12,0.01
11/30/1978,FXRKORM,2448.51,0.01
12/31/1978,FXRKORM,2763.91,0.01
01/31/1979,FXRKORM,2746.14,0.01
02/28/1979,FXRKORM,2682.7,0.01
03/31/1979,FXRKORM,2731.24,0.01
04/30/1979,FXRKORM,2665.89,0.01
05/31/1979,FXRKORM,2694.44,0.01
06/30/1979,FXRKORM,2513.89,0.01
07/31/1979,FXRKORM,2587.79,0.01
08/31/1979,FXRKORM,2634.98,0.01
09/30/1979,FXRKORM,2794.68,0.01
10/31/1979,FXRKORM,3072.69,0.01
11/30/1979,FXRKORM,2951.8,0.01
12/31/1979,FXRKORM,2959.16,0.01
01/31/1980,FXRKORM,2795.68,0.01
02/29/1980,FXRKORM,2738.07,0.01
03/31/1980,FXRKORM,2696.6,0.01
04/30/1980,FXRKORM,2512.99,0.01
05/31/1980,FXRKORM,2551.51,0.01
06/30/1980,FXRKORM,2521.17,0.01
07/31/1980,FXRKORM,3139.71,0.01
08/31/1980,FXRKORM,3328.14,0.01
09/30/1980,FXRKORM,3713.8,0.01
10/31/1980,FXRKORM,3448.44,0.01
11/30/1980,FXRKORM,3296.52,0.01
12/31/1980,FXRKORM,2924.86,0.01
01/31/1981,FXRKORM,2693.05,0.01
02/28/1981,FXRKORM,2769.62,0.01
03/31/1981,FXRKORM,2857.86,0.01
04/30/1981,FXRKORM,2941.95,0.01
05/31/1981,FXRKORM,2732.37,0.01
06/30/1981,FXRKORM,2438.38,0.01
07/31/1981,FXRKORM,2337.09,0.01
08/31/1981,FXRKORM,2473.21,0.01
09/30/1981,FXRKORM,2607.75,0.01
10/31/1981,FXRKORM,2664.1,0.01
11/30/1981,FXRKORM,2731.46,0.01
12/31/1981,FXRKORM,2681.69,0.01
01/31/1982,FXRKORM,2818.35,0.01
02/28/1982,FXRKORM,2821.31,0.01
03/31/1982,FXRKORM,2828.93,0.01
04/30/1982,FXRKORM,3037.31,0.01
05/31/1982,FXRKORM,2851.59,0.01
06/30/1982,FXRKORM,2555.42,0.01
07/31/1982,FXRKORM,2164.41,0
08/31/1982,FXRKORM,2332.62,0
09/30/1982,FXRKORM,2592.23,0.01
10/31/1982,FXRKORM,2701.6,0.01
11/30/1982,FXRKORM,2797.11,0.01
12/31/1982,FXRKORM,2807.32,0
01/31/1983,FXRKORM,2590.8,0
02/28/1983,FXRKORM,2377.78,0
03/31/1983,FXRKORM,2268.72,0
04/30/1983,FXRKORM,1882.52,0
05/31/1983,FXRKORM,2249.34,0
06/30/1983,FXRKORM,2007.9,0
07/31/1983,FXRKORM,2306.28,0
08/31/1983,FXRKORM,2189.42,0
09/30/1983,FXRKORM,2216.94,0
10/31/1983,FXRKORM,2082.64,0
11/30/1983,FXRKORM,2296.38,0
12/31/1983,FXRKORM,2346.7,0
01/31/1984,FXRKORM,1951.49,0
02/29/1984,FXRKORM,1904.63,0
03/31/1984,FXRKORM,1932.84,0
04/30/1984,FXRKORM,2032.72,0
05/31/1984,FXRKORM,2035.55,0
06/30/1984,FXRKORM,2074.81,0
07/31/1984,FXRKORM,2126.31,0
08/31/1984,FXRKORM,2451.41,0
09/30/1984,FXRKORM,2557.55,0
10/31/1984,FXRKORM,2647.28,0
11/30/1984,FXRKORM,2757.47,0
12/31/1984,FXRKORM,2753.61,0
01/31/1985,FXRKORM,2478.57,0
02/28/1985,FXRKORM,2542.15,0
03/31/1985,FXRKORM,2196.1,0
04/30/1985,FXRKORM,2126.19,0
05/31/1985,FXRKORM,1907.77,0
06/30/1985,FXRKORM,1972.92,0
07/31/1985,FXRKORM,2146.89,0
08/31/1985,FXRKORM,2358.97,0
09/30/1985,FXRKORM,2623.62,0
10/31/1985,FXRKORM,3055.4,0
11/30/1985,FXRKORM,3063.73,0
12/31/1985,FXRKORM,2869.32,0
01/31/1986,FXRKORM,2261.18,0
02/28/1986,FXRKORM,2580.74,0
03/31/1986,FXRKORM,2616.61,0
04/30/1986,FXRKORM,2802.03,0
05/31/1986,FXRKORM,2671.72,0
06/30/1986,FXRKORM,2714.29,0
07/31/1986,FXRKORM,3589.34,0
08/31/1986,FXRKORM,3611.73,0
09/30/1986,FXRKORM,3827.13,0
10/31/1986,FXRKORM,3824.55,0
11/30/1986,FXRKORM,3693.79,0
12/31/1986,FXRKORM,3319.58,0
01/31/1987,FXRKORM,3792.65,0
02/28/1987,FXRKORM,4034.57,0
03/31/1987,FXRKORM,3507.72,0
04/30/1987,FXRKORM,3448.1,0
05/31/1987,FXRKORM,3359.44,0
06/30/1987,FXRKORM,3327.01,0
07/31/1987,FXRKORM,3294.86,0
08/31/1987,FXRKORM,3410.13,0
09/30/1987,FXRKORM,3506.65,0
10/31/1987,FXRKORM,3598.23,0
11/30/1987,FXRKORM,4487.53,0
12/31/1987,FXRKORM,3583.68,0
01/31/1988,FXRKORM,4670.28,0
02/29/1988,FXRKORM,5643.81,0
03/31/1988,FXRKORM,6964.36,0.01
04/30/1988,FXRKORM,7643.9,0.01
05/31/1988,FXRKORM,8232.94,0.01
06/30/1988,FXRKORM,8984.19,0.01
07/31/1988,FXRKORM,9560.74,0.01
08/31/1988,FXRKORM,10684.3,0.01
09/30/1988,FXRKORM,11726.8,0.01
10/31/1988,FXRKORM,12657.7,0.01
11/30/1988,FXRKORM,13742.7,0.01
12/31/1988,FXRKORM,12346.7,0.01
01/31/1989,FXRKORM,13373.4,0.01
02/28/1989,FXRKORM,13462.4,0.01
03/31/1989,FXRKORM,14090.6,0.01
04/30/1989,FXRKORM,14882.4,0.01
05/31/1989,FXRKORM,15696.5,0.01
06/30/1989,FXRKORM,15771.4,0.01
07/31/1989,FXRKORM,14682.8,0.01
08/31/1989,FXRKORM,16625,0.01
09/30/1989,FXRKORM,17045.2,0.01
10/31/1989,FXRKORM,17393.4,0.01
11/30/1989,FXRKORM,17365.8,0.01
12/31/1989,FXRKORM,15213.6,0.01
01/31/1990,FXRKORM,13952.8,0.01
02/28/1990,FXRKORM,13743.6,0.01
03/31/1990,FXRKORM,13892.9,0.01
04/30/1990,FXRKORM,14448.4,0.01
05/31/1990,FXRKORM,14868.7,0.01
06/30/1990,FXRKORM,14673.7,0.01
07/31/1990,FXRKORM,15628,0.01
08/31/1990,FXRKORM,15844.5,0.01
09/30/1990,FXRKORM,15919.4,0.01
10/31/1990,FXRKORM,16153.9,0.01
11/30/1990,FXRKORM,16150.5,0.01
12/31/1990,FXRKORM,14822.4,0.01
01/31/1991,FXRKORM,14023.5,0.01
02/28/1991,FXRKORM,14137.4,0.01
03/31/1991,FXRKORM,13013.4,0.01
04/30/1991,FXRKORM,13217,0.01
05/31/1991,FXRKORM,13638.8,0.01
06/30/1991,FXRKORM,13417.2,0.01
07/31/1991,FXRKORM,13727.4,0.01
08/31/1991,FXRKORM,13380.2,0.01
09/30/1991,FXRKORM,13887.8,0.01
10/31/1991,FXRKORM,13579.7,0.01
11/30/1991,FXRKORM,13615.9,0.01
12/31/1991,FXRKORM,13733,0.01
01/31/1992,FXRKORM,14023.5,0.01
02/28/1992,FXRKORM,14480.49,0.01
02/29/1992,FXRKORM,14512.8,0.01
03/31/1992,FXRKORM,14458.3,0.01
04/30/1992,FXRKORM,15061.5,0.01
05/31/1992,FXRKORM,15328.2,0.01
06/30/1992,FXRKORM,14557.3,0.01
07/31/1992,FXRKORM,15232.7,0.01
08/31/1992,FXRKORM,16010.2,0.01
09/30/1992,FXRKORM,15421,0.01
10/31/1992,FXRKORM,15703.1,0.01
11/30/1992,FXRKORM,16806.5,0.01
12/31/1992,FXRKORM,17153.9,0.01
01/31/1993,FXRKORM,17852.3,0.01
02/28/1993,FXRKORM,18077.2,0.01
03/31/1993,FXRKORM,18672.1,0.01
04/30/1993,FXRKORM,19200.7,0.01
05/31/1993,FXRKORM,19157.1,0.01
06/30/1993,FXRKORM,18922.4,0.01
07/31/1993,FXRKORM,18793.8,0.01
08/31/1993,FXRKORM,18951.1,0.01
09/30/1993,FXRKORM,19698.4,0.01
10/31/1993,FXRKORM,19995.3,0.01
11/30/1993,FXRKORM,21463.3,0.01
12/31/1993,FXRKORM,20262.4,0.01
01/31/1994,FXRKORM,20544.4,0.01
02/28/1994,FXRKORM,20743.5,0.01
03/31/1994,FXRKORM,20755,0.01
04/30/1994,FXRKORM,21013.8,0.01
05/31/1994,FXRKORM,21402.8,0.01
06/30/1994,FXRKORM,21719,0.01
07/31/1994,FXRKORM,21546.1,0.01
08/31/1994,FXRKORM,22030.4,0.01
09/30/1994,FXRKORM,22376.4,0.01
10/31/1994,FXRKORM,23717.1,0.01
11/30/1994,FXRKORM,24023.7,0.01
12/31/1994,FXRKORM,25672.7,0.01
01/31/1995,FXRKORM,26280.4,0.01
02/28/1995,FXRKORM,26400.7,0.01
03/31/1995,FXRKORM,26567.6,0.01
04/30/1995,FXRKORM,27294.2,0.01
05/31/1995,FXRKORM,27817.5,0.01
06/30/1995,FXRKORM,28381.9,0.01
07/31/1995,FXRKORM,30950.2,0.01
08/31/1995,FXRKORM,31173.3,0.01
09/30/1995,FXRKORM,31189.1,0.01
10/31/1995,FXRKORM,32168.4,0.01
11/30/1995,FXRKORM,33223.8,0.01
12/31/1995,FXRKORM,32712.1,0.01
01/31/1996,FXRKORM,33264,0.01
02/28/1996,FXRKORM,35078.01,0.01
02/29/1996,FXRKORM,35115,0.01
03/31/1996,FXRKORM,33451.1,0.01
04/30/1996,FXRKORM,35930,0.01
05/31/1996,FXRKORM,36240.5,0.01
06/30/1996,FXRKORM,36561.5,0.01
07/31/1996,FXRKORM,35062,0.01
08/30/1996,FXRKORM,33522.54,0.01
08/31/1996,FXRKORM,33557,0.01
09/30/1996,FXRKORM,32837,0.01
10/31/1996,FXRKORM,32228.8,0.01
11/30/1996,FXRKORM,32317.5,0.01
12/31/1996,FXRKORM,33236.7,0.01
01/31/1997,FXRKORM,30966.3,0.01
02/28/1997,FXRKORM,29756,0.01
03/31/1997,FXRKORM,29145.8,0.01
04/30/1997,FXRKORM,29830.8,0.01
05/31/1997,FXRKORM,31900.5,0.01
06/30/1997,FXRKORM,33316.2,0.01
07/31/1997,FXRKORM,33672.6,0.01
08/31/1997,FXRKORM,31140.5,0.01
09/30/1997,FXRKORM,30425.7,0.01
10/31/1997,FXRKORM,30509.1,0.01
11/30/1997,FXRKORM,24404.3,0.01
12/31/1997,FXRKORM,20405.5,0
01/31/1998,FXRKORM,23515.5,0
02/28/1998,FXRKORM,26715.2,0.01
03/31/1998,FXRKORM,29749,0.01
04/30/1998,FXRKORM,35544.1,0.01
05/31/1998,FXRKORM,38761.2,0.01
06/30/1998,FXRKORM,40900.5,0.01
07/31/1998,FXRKORM,43022.1,0.01
08/31/1998,FXRKORM,45091.3,0.01
09/30/1998,FXRKORM,46977.4,0.01
10/30/1998,FXRKORM,48768.5,0.01
10/31/1998,FXRKORM,48833.9,0.01
11/30/1998,FXRKORM,50015.2,0.01
12/31/1998,FXRKORM,52040.8,0.01
01/29/1999,FXRKORM,53531.43,0.01
01/31/1999,FXRKORM,53597.8,0.01
02/26/1999,FXRKORM,55390.55,0.01
02/28/1999,FXRKORM,55456.8,0.01
03/31/1999,FXRKORM,57450.8,0.01
04/30/1999,FXRKORM,59263.9,0.01
05/31/1999,FXRKORM,61409.3,0.01
06/30/1999,FXRKORM,61987.1,0.01
07/30/1999,FXRKORM,64877.84,0.01
07/31/1999,FXRKORM,64944.5,0.01
08/31/1999,FXRKORM,64782.3,0.01
09/30/1999,FXRKORM,65480.1,0.01
10/31/1999,FXRKORM,66214,0.01
11/30/1999,FXRKORM,69681.1,0.01
12/31/1999,FXRKORM,74054.5,0.01
01/31/2000,FXRKORM,76999.8,0.01
02/28/2000,FXRKORM,79726.8,0.01
02/29/2000,FXRKORM,79726.8,0.01
03/31/2000,FXRKORM,83648.2,0.02
04/30/2000,FXRKORM,84612.9,0.02
05/31/2000,FXRKORM,86819.8,0.02
06/30/2000,FXRKORM,90178.6,0.02
07/31/2000,FXRKORM,90354,0.02
08/31/2000,FXRKORM,91434.4,0.02
09/30/2000,FXRKORM,92534.9,0.02
10/31/2000,FXRKORM,92697.2,0.02
11/30/2000,FXRKORM,93343.3,0.02
12/31/2000,FXRKORM,96198.1,0.01
01/31/2001,FXRKORM,95417.9,0.01
02/28/2001,FXRKORM,95334,0.01
03/31/2001,FXRKORM,94444.4,0.01
04/30/2001,FXRKORM,93479.2,0.01
05/31/2001,FXRKORM,93634.3,0.01
06/30/2001,FXRKORM,94255.5,0.01
07/31/2001,FXRKORM,97059.4,0.01
08/31/2001,FXRKORM,99024.9,0.01
09/30/2001,FXRKORM,100084,0.01
10/31/2001,FXRKORM,100474.3,0.01
11/30/2001,FXRKORM,101653.1,0.01
12/31/2001,FXRKORM,102821.4,0.01
01/31/2002,FXRKORM,104302.5,0.01
02/28/2002,FXRKORM,105092.2,0.01
03/31/2002,FXRKORM,106091.9,0.01
04/30/2002,FXRKORM,107655.5,0.01
05/31/2002,FXRKORM,109629.7,0.01
06/30/2002,FXRKORM,112438.4,0.01
07/31/2002,FXRKORM,115495,0.01
08/31/2002,FXRKORM,116539.2,0.01
09/30/2002,FXRKORM,116689.6,0.01
10/31/2002,FXRKORM,116995,0.01
11/30/2002,FXRKORM,118331.2,0.01
12/31/2002,FXRKORM,121412.5,0.01
01/31/2003,FXRKORM,122905.2,0.01
02/28/2003,FXRKORM,123988.2,0.01
03/31/2003,FXRKORM,123824.5,0.01
04/30/2003,FXRKORM,123619.3,0.01
05/31/2003,FXRKORM,128341.6,0.01
06/30/2003,FXRKORM,131659.9,0.01
07/31/2003,FXRKORM,132906.1,0.01
08/31/2003,FXRKORM,136189.3,0.01
09/30/2003,FXRKORM,141534.8,0.01
10/31/2003,FXRKORM,143319.5,0.01
11/30/2003,FXRKORM,150339.2,0.01
12/31/2003,FXRKORM,155352.4,0.02
01/31/2004,FXRKORM,157449.6,0.02
02/29/2004,FXRKORM,163007.1,0.02
03/31/2004,FXRKORM,163556.9,0.02
04/30/2004,FXRKORM,163635.3,0.02
05/31/2004,FXRKORM,166542.6,0.02
06/30/2004,FXRKORM,167029.7,0.02
07/31/2004,FXRKORM,168006.4,0.02
08/31/2004,FXRKORM,170492,0.02
09/30/2004,FXRKORM,174448.1,0.02
10/31/2004,FXRKORM,178388.3,0.02
11/30/2004,FXRKORM,192602.3,0.02
12/31/2004,FXRKORM,199066.1,0.02
01/31/2005,FXRKORM,199699.3,0.02
02/28/2005,FXRKORM,202162.4,0.02
03/31/2005,FXRKORM,205447.3,0.02
04/30/2005,FXRKORM,206376.4,0.02
05/31/2005,FXRKORM,206100.4,0.02
