Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRMEXM,Mexico Total Foreign Exchange Reserves Excluding Gold,International Liquidity,United States Dollar,Mexico,,,,,,,National Currency,Millions,Stock,None,Monthly From Jan 1957 To Jan 2020<BR>,Source: World Bank,
Date,Ticker,Close,Percent_Gdp
01/31/1957,FXRMEXM,346.5,259.19
02/28/1957,FXRMEXM,338.5,253.21
03/31/1957,FXRMEXM,315.5,236
04/30/1957,FXRMEXM,304.5,227.78
05/31/1957,FXRMEXM,293.5,219.55
06/30/1957,FXRMEXM,263.5,197.11
07/31/1957,FXRMEXM,259.5,194.11
08/31/1957,FXRMEXM,295.5,221.04
09/30/1957,FXRMEXM,264.5,197.85
10/31/1957,FXRMEXM,259.5,194.11
11/30/1957,FXRMEXM,266.5,199.35
12/31/1957,FXRMEXM,295.5,192.46
01/31/1958,FXRMEXM,289.5,188.55
02/28/1958,FXRMEXM,284.5,185.29
03/31/1958,FXRMEXM,263.5,171.62
04/30/1958,FXRMEXM,256.5,167.06
05/31/1958,FXRMEXM,242.5,157.94
06/30/1958,FXRMEXM,202.5,131.89
07/31/1958,FXRMEXM,194.5,126.68
08/31/1958,FXRMEXM,214.5,139.7
09/30/1958,FXRMEXM,217.5,141.66
10/31/1958,FXRMEXM,224.5,146.22
11/30/1958,FXRMEXM,221.5,144.26
12/31/1958,FXRMEXM,247.5,145.04
01/31/1959,FXRMEXM,232.5,136.25
02/28/1959,FXRMEXM,217.5,127.46
03/31/1959,FXRMEXM,233,136.54
04/30/1959,FXRMEXM,257.5,150.9
05/31/1959,FXRMEXM,281.5,164.96
06/30/1959,FXRMEXM,257.5,150.9
07/31/1959,FXRMEXM,261.5,153.24
08/31/1959,FXRMEXM,264.5,155
09/30/1959,FXRMEXM,242.5,142.11
10/31/1959,FXRMEXM,249.5,146.21
11/30/1959,FXRMEXM,287,168.18
12/31/1959,FXRMEXM,316,172.82
01/31/1960,FXRMEXM,292,159.69
02/29/1960,FXRMEXM,309,168.99
03/31/1960,FXRMEXM,325,177.74
04/30/1960,FXRMEXM,314,171.73
05/31/1960,FXRMEXM,300,164.07
06/30/1960,FXRMEXM,294,160.79
07/31/1960,FXRMEXM,288,157.51
08/31/1960,FXRMEXM,291,159.15
09/30/1960,FXRMEXM,275,150.4
10/31/1960,FXRMEXM,266,145.47
11/30/1960,FXRMEXM,271,148.21
12/31/1960,FXRMEXM,306,147.51
01/31/1961,FXRMEXM,269,129.68
02/28/1961,FXRMEXM,238,114.73
03/31/1961,FXRMEXM,222,107.02
04/30/1961,FXRMEXM,240,115.7
05/31/1961,FXRMEXM,209,100.75
06/30/1961,FXRMEXM,198,95.45
07/31/1961,FXRMEXM,197,94.97
08/31/1961,FXRMEXM,236,113.77
09/30/1961,FXRMEXM,228,109.91
10/31/1961,FXRMEXM,229,110.39
11/30/1961,FXRMEXM,255,122.93
12/31/1961,FXRMEXM,301,133.77
01/31/1962,FXRMEXM,277,123.1
02/28/1962,FXRMEXM,269,119.55
03/31/1962,FXRMEXM,298,132.43
04/30/1962,FXRMEXM,290,128.88
05/31/1962,FXRMEXM,274,121.77
06/30/1962,FXRMEXM,252,111.99
07/31/1962,FXRMEXM,255,113.32
08/31/1962,FXRMEXM,275,122.21
09/30/1962,FXRMEXM,266,118.21
10/31/1962,FXRMEXM,265,117.77
11/30/1962,FXRMEXM,309,137.32
12/31/1962,FXRMEXM,333,137.26
01/31/1963,FXRMEXM,346,142.61
02/28/1963,FXRMEXM,364,150.03
03/31/1963,FXRMEXM,351,144.68
04/30/1963,FXRMEXM,362,149.21
05/31/1963,FXRMEXM,354,145.91
06/30/1963,FXRMEXM,348,143.44
07/31/1963,FXRMEXM,399,164.46
08/31/1963,FXRMEXM,391,161.16
09/30/1963,FXRMEXM,375,154.57
10/31/1963,FXRMEXM,368,151.68
11/30/1963,FXRMEXM,367,151.27
12/31/1963,FXRMEXM,409,151.42
01/31/1964,FXRMEXM,414,153.27
02/29/1964,FXRMEXM,416,154.01
03/31/1964,FXRMEXM,405,149.94
04/30/1964,FXRMEXM,391,144.76
05/31/1964,FXRMEXM,355,131.43
06/30/1964,FXRMEXM,343,126.98
07/31/1964,FXRMEXM,351,129.95
08/31/1964,FXRMEXM,364,134.76
09/30/1964,FXRMEXM,335,124.02
10/31/1964,FXRMEXM,344,127.35
11/30/1964,FXRMEXM,414,153.27
12/31/1964,FXRMEXM,418,131.08
01/31/1965,FXRMEXM,383,120.11
02/28/1965,FXRMEXM,395,123.87
03/31/1965,FXRMEXM,412,129.2
04/30/1965,FXRMEXM,341,106.94
05/31/1965,FXRMEXM,355.5,111.48
06/30/1965,FXRMEXM,328.5,103.02
07/31/1965,FXRMEXM,316.5,99.25
08/31/1965,FXRMEXM,372.5,116.81
09/30/1965,FXRMEXM,359.5,112.74
10/31/1965,FXRMEXM,348.5,109.29
11/30/1965,FXRMEXM,372.5,116.81
12/31/1965,FXRMEXM,379.5,109.25
01/31/1966,FXRMEXM,376.5,108.39
02/28/1966,FXRMEXM,380.5,109.54
03/31/1966,FXRMEXM,411,118.32
04/30/1966,FXRMEXM,420,120.91
05/31/1966,FXRMEXM,394.5,113.57
06/30/1966,FXRMEXM,399.5,115.01
07/31/1966,FXRMEXM,396.5,114.15
08/31/1966,FXRMEXM,381.5,109.83
09/30/1966,FXRMEXM,358.99,103.35
10/31/1966,FXRMEXM,341.99,98.46
11/30/1966,FXRMEXM,404.99,116.59
12/31/1966,FXRMEXM,454.99,117.86
01/31/1967,FXRMEXM,380.99,98.69
02/28/1967,FXRMEXM,411.99,106.72
03/31/1967,FXRMEXM,398.99,103.36
04/30/1967,FXRMEXM,399.99,103.62
05/31/1967,FXRMEXM,378.99,98.18
06/30/1967,FXRMEXM,369.99,95.84
07/31/1967,FXRMEXM,360.99,93.51
08/30/1967,FXRMEXM,323.99,83.93
09/30/1967,FXRMEXM,361.99,93.77
10/31/1967,FXRMEXM,344.99,89.37
11/30/1967,FXRMEXM,379.99,98.44
12/31/1967,FXRMEXM,420,99.48
01/31/1968,FXRMEXM,427.01,101.14
02/29/1968,FXRMEXM,432.58,102.46
03/31/1968,FXRMEXM,436.58,103.41
04/30/1968,FXRMEXM,438.58,103.88
05/31/1968,FXRMEXM,470.58,111.46
06/30/1968,FXRMEXM,433.56,102.7
07/31/1968,FXRMEXM,451.56,106.96
08/30/1968,FXRMEXM,444.51,105.29
09/30/1968,FXRMEXM,424.51,100.55
10/31/1968,FXRMEXM,450.92,106.81
11/30/1968,FXRMEXM,464.92,110.12
12/31/1968,FXRMEXM,491.92,105.24
01/31/1969,FXRMEXM,475.92,101.82
02/28/1969,FXRMEXM,475.92,101.82
