Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRZAFM,South Africa Total Foreign Exchange Reserves Excluding Gold,International Liquidity,United States Dollar,South Africa,,,,,,,National Currency,Millions,Stock,None,Monthly From Jan 1960 To Jan 2020<BR>,Source: World Bank,
Date,Ticker,Close,Percent_Gdp
01/31/1960,FXRZAFM,191.2339475,3.94
02/29/1960,FXRZAFM,174.5810056,3.6
03/31/1960,FXRZAFM,151.048951,3.12
04/30/1960,FXRZAFM,107.6320939,2.22
05/31/1960,FXRZAFM,71.1495536,1.47
06/30/1960,FXRZAFM,69.8519139,1.44
07/31/1960,FXRZAFM,69.8909701,1.44
08/31/1960,FXRZAFM,58.7576945,1.21
09/30/1960,FXRZAFM,67.1516508,1.38
10/31/1960,FXRZAFM,64.4438218,1.33
11/30/1960,FXRZAFM,61.5384615,1.27
12/31/1960,FXRZAFM,62.7965392,1.13
01/31/1961,FXRZAFM,78.1686209,1.4
02/28/1961,FXRZAFM,73.7237446,1.32
03/31/1961,FXRZAFM,64.0311804,1.15
04/30/1961,FXRZAFM,57.0712695,1.02
05/31/1961,FXRZAFM,65.2868454,1.17
06/30/1961,FXRZAFM,62.4566273,1.12
07/31/1961,FXRZAFM,68.1123158,1.22
08/31/1961,FXRZAFM,67.0578374,1.2
09/30/1961,FXRZAFM,72.8495377,1.31
10/31/1961,FXRZAFM,95.26478,1.71
11/30/1961,FXRZAFM,96.6657327,1.73
12/31/1961,FXRZAFM,90.8709632,1.56
01/31/1962,FXRZAFM,83.99832,1.44
02/28/1962,FXRZAFM,85.4581115,1.47
03/31/1962,FXRZAFM,97.99804,1.68
04/30/1962,FXRZAFM,118.99762,2.04
05/31/1962,FXRZAFM,134.3033016,2.31
06/30/1962,FXRZAFM,142.5975115,2.45
07/31/1962,FXRZAFM,145.1905626,2.49
08/31/1962,FXRZAFM,125.4530248,2.15
09/30/1962,FXRZAFM,128.2408698,2.2
10/31/1962,FXRZAFM,136.6044048,2.35
11/30/1962,FXRZAFM,118.6653637,2.04
