Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRSGPM,Singapore Total Foreign Exchange Reserves Excluding Gold,International Liquidity,United States Dollar,Singapore,,,,,,,National Currency,Millions,Stock,None,Monthly From May 1969 To Jan 2020<BR>,Source: World Bank,
Date,Ticker,Close,Percent_Gdp
05/31/1969,FXRSGPM,223.12,5.11
06/30/1969,FXRSGPM,787.32,18.05
07/31/1969,FXRSGPM,810.22,18.57
08/31/1969,FXRSGPM,854.22,19.58
09/30/1969,FXRSGPM,850.83,19.5
10/31/1969,FXRSGPM,939.93,21.55
11/30/1969,FXRSGPM,952.43,21.83
12/31/1969,FXRSGPM,826.63,16.28
01/31/1970,FXRSGPM,952.44,18.75
02/28/1970,FXRSGPM,968.83,19.08
03/31/1970,FXRSGPM,1001.73,19.72
04/30/1970,FXRSGPM,1007.33,19.83
05/31/1970,FXRSGPM,1028.93,20.26
06/30/1970,FXRSGPM,1040.24,20.48
07/31/1970,FXRSGPM,1066.44,21
08/31/1970,FXRSGPM,1094.24,21.55
09/30/1970,FXRSGPM,1136.64,22.38
10/31/1970,FXRSGPM,1142.84,22.5
11/30/1970,FXRSGPM,1155.44,22.75
12/31/1970,FXRSGPM,1012.04,17.22
01/31/1971,FXRSGPM,1040.84,17.71
02/28/1971,FXRSGPM,1054.24,17.94
03/31/1971,FXRSGPM,1074.54,18.29
04/30/1971,FXRSGPM,1104.04,18.79
05/31/1971,FXRSGPM,1133.14,19.28
06/30/1971,FXRSGPM,1170.74,19.92
07/31/1971,FXRSGPM,1196.34,20.36
08/31/1971,FXRSGPM,1238.04,21.07
09/30/1971,FXRSGPM,1254.49,21.35
10/31/1971,FXRSGPM,1290.4,21.96
11/30/1971,FXRSGPM,1295.3,22.04
12/31/1971,FXRSGPM,1452.3,20.97
01/31/1972,FXRSGPM,1480.6,21.38
02/29/1972,FXRSGPM,1487.3,21.47
03/31/1972,FXRSGPM,1522.9,21.99
04/30/1972,FXRSGPM,1490.91,21.53
05/31/1972,FXRSGPM,1509.12,21.79
06/30/1972,FXRSGPM,1493.21,21.56
07/31/1972,FXRSGPM,1514.01,21.86
08/31/1972,FXRSGPM,1573.31,22.72
09/30/1972,FXRSGPM,1653.71,23.88
10/31/1972,FXRSGPM,1675.71,24.19
11/30/1972,FXRSGPM,1701.12,24.56
12/31/1972,FXRSGPM,1748.42,21.07
01/31/1973,FXRSGPM,1796.92,21.66
02/28/1973,FXRSGPM,2022.74,24.38
03/31/1973,FXRSGPM,2071.44,24.96
04/30/1973,FXRSGPM,2123.64,25.59
05/31/1973,FXRSGPM,2191.34,26.41
06/30/1973,FXRSGPM,2250.56,27.12
07/31/1973,FXRSGPM,2278.06,27.45
08/31/1973,FXRSGPM,2280.94,27.49
09/30/1973,FXRSGPM,2271.24,27.37
10/31/1973,FXRSGPM,2274.56,27.41
11/30/1973,FXRSGPM,2277.66,27.45
12/31/1973,FXRSGPM,2285.76,22
01/31/1974,FXRSGPM,2302.76,22.17
02/28/1974,FXRSGPM,2319.06,22.32
03/31/1974,FXRSGPM,2351.26,22.63
04/30/1974,FXRSGPM,2371.46,22.83
05/31/1974,FXRSGPM,2379.46,22.9
06/30/1974,FXRSGPM,2411.57,23.21
07/31/1974,FXRSGPM,2485.24,23.92
08/31/1974,FXRSGPM,2515.86,24.22
09/30/1974,FXRSGPM,2610.49,25.13
10/31/1974,FXRSGPM,2648.06,25.49
11/30/1974,FXRSGPM,2728.67,26.27
12/31/1974,FXRSGPM,2811.94,21.93
01/31/1975,FXRSGPM,2875.66,22.43
02/28/1975,FXRSGPM,3034.26,23.67
03/31/1975,FXRSGPM,3025.44,23.6
04/30/1975,FXRSGPM,3059.58,23.87
05/31/1975,FXRSGPM,3129.43,24.41
06/30/1975,FXRSGPM,3153.34,24.6
07/31/1975,FXRSGPM,2947.51,22.99
08/31/1975,FXRSGPM,2958.47,23.08
09/30/1975,FXRSGPM,2923.87,22.81
10/31/1975,FXRSGPM,3015.18,23.52
11/30/1975,FXRSGPM,2967.44,23.15
12/31/1975,FXRSGPM,3006.63,21.91
01/31/1976,FXRSGPM,3048.32,22.21
02/29/1976,FXRSGPM,3104.02,22.62
03/31/1976,FXRSGPM,3128.7,22.8
04/30/1976,FXRSGPM,3177.55,23.16
05/31/1976,FXRSGPM,3196.08,23.29
06/30/1976,FXRSGPM,3227.12,23.52
07/31/1976,FXRSGPM,3236.72,23.59
08/30/1976,FXRSGPM,3253.66,23.71
09/30/1976,FXRSGPM,3292.22,23.99
10/31/1976,FXRSGPM,3344.7,24.37
11/30/1976,FXRSGPM,3353.05,24.44
12/31/1976,FXRSGPM,3363.76,22.44
01/31/1977,FXRSGPM,3398.17,22.67
02/28/1977,FXRSGPM,3422.31,22.83
03/31/1977,FXRSGPM,3469.04,23.14
04/30/1977,FXRSGPM,3493.17,23.3
05/31/1977,FXRSGPM,3544.87,23.65
06/30/1977,FXRSGPM,3550.31,23.69
07/31/1977,FXRSGPM,3606.96,24.06
08/31/1977,FXRSGPM,3587.18,23.93
09/30/1977,FXRSGPM,3622.79,24.17
10/31/1977,FXRSGPM,3737.84,24.94
11/30/1977,FXRSGPM,3776.08,25.19
12/31/1977,FXRSGPM,3857.67,23.62
01/31/1978,FXRSGPM,3932.67,24.08
02/28/1978,FXRSGPM,3988.18,24.42
03/31/1978,FXRSGPM,4088.28,25.04
04/30/1978,FXRSGPM,4298.98,26.33
05/31/1978,FXRSGPM,4346.63,26.62
06/30/1978,FXRSGPM,4419.21,27.06
07/31/1978,FXRSGPM,4611.84,28.24
08/31/1978,FXRSGPM,4679.49,28.66
09/30/1978,FXRSGPM,4746.43,29.07
10/31/1978,FXRSGPM,5292.13,32.41
11/30/1978,FXRSGPM,5161.21,31.61
12/31/1978,FXRSGPM,5302.67,28.97
01/31/1979,FXRSGPM,5308.6,29.01
02/28/1979,FXRSGPM,5429.36,29.67
03/31/1979,FXRSGPM,5434.62,29.7
04/30/1979,FXRSGPM,5366.26,29.32
05/31/1979,FXRSGPM,5420.81,29.62
06/30/1979,FXRSGPM,5500.32,30.05
07/31/1979,FXRSGPM,5554,30.35
08/31/1979,FXRSGPM,5611.49,30.66
09/30/1979,FXRSGPM,5693.67,31.11
10/31/1979,FXRSGPM,5625.51,30.74
11/30/1979,FXRSGPM,5688.01,31.08
12/31/1979,FXRSGPM,5818.48,27.58
01/31/1980,FXRSGPM,5937.74,28.14
02/29/1980,FXRSGPM,5952.56,28.21
03/31/1980,FXRSGPM,5678.77,26.92
04/30/1980,FXRSGPM,5883.88,27.89
05/31/1980,FXRSGPM,6093.33,28.88
06/30/1980,FXRSGPM,6239.78,29.57
07/31/1980,FXRSGPM,6210.88,29.44
08/31/1980,FXRSGPM,6335.75,30.03
09/30/1980,FXRSGPM,6461.89,30.63
10/31/1980,FXRSGPM,6512.95,30.87
11/30/1980,FXRSGPM,6522.66,30.92
12/31/1980,FXRSGPM,6566.78,25.46
01/31/1981,FXRSGPM,6636.04,25.73
02/28/1981,FXRSGPM,6787.07,26.31
03/31/1981,FXRSGPM,6831.51,26.49
04/30/1981,FXRSGPM,6801.76,26.37
05/31/1981,FXRSGPM,6669.96,25.86
06/30/1981,FXRSGPM,6720.65,26.06
07/31/1981,FXRSGPM,6651.87,25.79
08/31/1981,FXRSGPM,6681.84,25.91
09/30/1981,FXRSGPM,6828.05,26.47
10/31/1981,FXRSGPM,7298.23,28.3
11/30/1981,FXRSGPM,7477.56,28.99
12/31/1981,FXRSGPM,7549.24,24.95
01/31/1982,FXRSGPM,7611.46,25.15
02/28/1982,FXRSGPM,7505.53,24.8
03/31/1982,FXRSGPM,7360.03,24.32
04/30/1982,FXRSGPM,7527.95,24.88
05/31/1982,FXRSGPM,7588.89,25.08
06/30/1982,FXRSGPM,7528.46,24.88
07/31/1982,FXRSGPM,7630.32,25.22
08/31/1982,FXRSGPM,7617.31,25.17
09/30/1982,FXRSGPM,7632.57,25.22
10/31/1982,FXRSGPM,7779.4,25.71
11/30/1982,FXRSGPM,8022.81,26.51
12/31/1982,FXRSGPM,8479.77,25.06
01/31/1983,FXRSGPM,8656.82,25.58
02/28/1983,FXRSGPM,8839.33,26.12
03/31/1983,FXRSGPM,8809.38,26.03
04/30/1983,FXRSGPM,8725.22,25.78
05/31/1983,FXRSGPM,8825.56,26.08
06/30/1983,FXRSGPM,8838.32,26.12
07/31/1983,FXRSGPM,8792.61,25.98
08/31/1983,FXRSGPM,8820.72,26.07
09/30/1983,FXRSGPM,9038.96,26.71
10/31/1983,FXRSGPM,9150.37,27.04
11/30/1983,FXRSGPM,9224.09,27.26
12/31/1983,FXRSGPM,9264.23,24.45
01/31/1984,FXRSGPM,9322.18,24.6
02/29/1984,FXRSGPM,9438.57,24.91
03/31/1984,FXRSGPM,9670,25.52
04/30/1984,FXRSGPM,9704.45,25.61
05/31/1984,FXRSGPM,9724.75,25.66
06/30/1984,FXRSGPM,9742.69,25.71
07/31/1984,FXRSGPM,10006.2,26.4
08/31/1984,FXRSGPM,10317.1,27.22
09/30/1984,FXRSGPM,10299.6,27.18
10/31/1984,FXRSGPM,10342.3,27.29
11/30/1984,FXRSGPM,10406.3,27.46
12/31/1984,FXRSGPM,10416,25.11
01/31/1985,FXRSGPM,10485.8,25.28
02/28/1985,FXRSGPM,10321.5,24.88
03/31/1985,FXRSGPM,10767.5,25.96
04/30/1985,FXRSGPM,10970,26.45
05/31/1985,FXRSGPM,10980,26.47
06/30/1985,FXRSGPM,11016.5,26.56
07/31/1985,FXRSGPM,11275.3,27.18
08/31/1985,FXRSGPM,11022.5,26.57
09/30/1985,FXRSGPM,11611.6,27.99
10/31/1985,FXRSGPM,12016.8,28.97
11/30/1985,FXRSGPM,12572.7,30.31
12/31/1985,FXRSGPM,12846.6,31.62
01/31/1986,FXRSGPM,12747.4,31.38
02/28/1986,FXRSGPM,12693.2,31.25
03/31/1986,FXRSGPM,12559.1,30.92
04/30/1986,FXRSGPM,12537.8,30.86
05/31/1986,FXRSGPM,12378,30.47
06/30/1986,FXRSGPM,12717.7,31.31
07/31/1986,FXRSGPM,12816.6,31.55
08/31/1986,FXRSGPM,12905.5,31.77
09/30/1986,FXRSGPM,12889.3,31.73
10/31/1986,FXRSGPM,12792.9,31.49
11/30/1986,FXRSGPM,12752.1,31.39
12/31/1986,FXRSGPM,12939,31.72
01/31/1987,FXRSGPM,13110.5,32.14
02/28/1987,FXRSGPM,13178.5,32.31
03/31/1987,FXRSGPM,13246.3,32.48
04/30/1987,FXRSGPM,13367.4,32.77
05/31/1987,FXRSGPM,13702.5,33.59
06/30/1987,FXRSGPM,13580.3,33.3
