Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRDNKM,Denmark Total Foreign Exchange Reserves Excluding Gold,International Liquidity,United States Dollar,Denmark,,,,,,,National Currency,Millions,Stock,None,Monthly From Jan 1957 To Dec 2019<BR>,Source: World Bank,
Date,Ticker,Close,Percent_Gdp
01/31/1957,FXRDNKM,78.47,0.26
02/28/1957,FXRDNKM,76.11,0.25
03/31/1957,FXRDNKM,80.91,0.26
04/30/1957,FXRDNKM,70.51,0.23
05/31/1957,FXRDNKM,60.81,0.2
06/30/1957,FXRDNKM,100.41,0.33
07/31/1957,FXRDNKM,96.1,0.31
08/31/1957,FXRDNKM,132.6,0.43
09/30/1957,FXRDNKM,125.3,0.41
10/31/1957,FXRDNKM,112.9,0.37
11/30/1957,FXRDNKM,118.4,0.39
12/31/1957,FXRDNKM,140.3,0.43
01/31/1958,FXRDNKM,138,0.42
02/28/1958,FXRDNKM,136.6,0.42
03/31/1958,FXRDNKM,140.9,0.43
04/30/1958,FXRDNKM,150,0.46
05/31/1958,FXRDNKM,153.2,0.47
06/30/1958,FXRDNKM,136.4,0.42
07/31/1958,FXRDNKM,143.3,0.44
08/31/1958,FXRDNKM,158.1,0.48
09/30/1958,FXRDNKM,174.7,0.53
10/31/1958,FXRDNKM,168.1,0.51
11/30/1958,FXRDNKM,171.7,0.53
12/31/1958,FXRDNKM,181.7,0.53
01/31/1959,FXRDNKM,152.6,0.45
02/28/1959,FXRDNKM,165.6,0.49
03/31/1959,FXRDNKM,185.7,0.55
04/30/1959,FXRDNKM,175.2,0.52
05/31/1959,FXRDNKM,162.5,0.48
06/30/1959,FXRDNKM,185,0.54
07/31/1959,FXRDNKM,194.1,0.57
08/31/1959,FXRDNKM,175.1,0.52
09/30/1959,FXRDNKM,246.4,0.73
10/31/1959,FXRDNKM,241.9,0.71
11/30/1959,FXRDNKM,241.2,0.71
12/31/1959,FXRDNKM,272.6,0.73
01/31/1960,FXRDNKM,233.5,0.62
02/29/1960,FXRDNKM,220.9,0.59
03/31/1960,FXRDNKM,229.3,0.61
04/30/1960,FXRDNKM,220.8,0.59
05/31/1960,FXRDNKM,197.6,0.53
06/30/1960,FXRDNKM,212.1,0.57
07/31/1960,FXRDNKM,205.4,0.55
08/31/1960,FXRDNKM,194.81,0.52
09/30/1960,FXRDNKM,204.41,0.55
10/31/1960,FXRDNKM,203.41,0.54
11/30/1960,FXRDNKM,192.01,0.51
12/31/1960,FXRDNKM,179.11,0.44
01/31/1961,FXRDNKM,169.91,0.42
02/28/1961,FXRDNKM,179.61,0.44
03/31/1961,FXRDNKM,190.41,0.47
04/30/1961,FXRDNKM,176.91,0.44
05/31/1961,FXRDNKM,168.31,0.42
06/30/1961,FXRDNKM,169.11,0.42
07/31/1961,FXRDNKM,148.91,0.37
08/31/1961,FXRDNKM,140.11,0.35
09/30/1961,FXRDNKM,143.51,0.35
10/31/1961,FXRDNKM,137.11,0.34
11/30/1961,FXRDNKM,135.91,0.34
12/31/1961,FXRDNKM,175.71,0.39
01/31/1962,FXRDNKM,161.91,0.36
02/28/1962,FXRDNKM,148.71,0.33
03/31/1962,FXRDNKM,164.71,0.36
04/30/1962,FXRDNKM,154.81,0.34
05/31/1962,FXRDNKM,150.41,0.33
06/30/1962,FXRDNKM,169.41,0.37
07/31/1962,FXRDNKM,141.01,0.31
08/31/1962,FXRDNKM,128.71,0.28
09/30/1962,FXRDNKM,134.91,0.3
10/31/1962,FXRDNKM,118.11,0.26
11/30/1962,FXRDNKM,130.01,0.29
12/31/1962,FXRDNKM,163.71,0.32
01/31/1963,FXRDNKM,127.01,0.25
02/28/1963,FXRDNKM,123.21,0.24
03/31/1963,FXRDNKM,169.51,0.33
04/30/1963,FXRDNKM,183.81,0.36
05/31/1963,FXRDNKM,189.61,0.37
06/30/1963,FXRDNKM,225.31,0.44
07/31/1963,FXRDNKM,239.81,0.47
08/31/1963,FXRDNKM,238.01,0.47
09/30/1963,FXRDNKM,285.11,0.56
10/31/1963,FXRDNKM,284.61,0.56
11/30/1963,FXRDNKM,327.31,0.64
12/31/1963,FXRDNKM,378.41,0.71
01/31/1964,FXRDNKM,349.71,0.65
02/29/1964,FXRDNKM,333.81,0.62
03/31/1964,FXRDNKM,378.11,0.71
04/30/1964,FXRDNKM,395.31,0.74
05/31/1964,FXRDNKM,390.11,0.73
06/30/1964,FXRDNKM,423.01,0.79
07/31/1964,FXRDNKM,450.41,0.84
08/31/1964,FXRDNKM,439.01,0.82
09/30/1964,FXRDNKM,480.91,0.9
10/31/1964,FXRDNKM,490.21,0.92
11/30/1964,FXRDNKM,495.84,0.93
12/31/1964,FXRDNKM,553.04,0.91
01/31/1965,FXRDNKM,506.94,0.83
02/28/1965,FXRDNKM,481.04,0.79
03/31/1965,FXRDNKM,480.34,0.79
04/30/1965,FXRDNKM,435.54,0.71
05/31/1965,FXRDNKM,401.64,0.66
06/30/1965,FXRDNKM,412.64,0.68
07/31/1965,FXRDNKM,398.64,0.65
08/31/1965,FXRDNKM,360.14,0.59
09/30/1965,FXRDNKM,398.44,0.65
10/31/1965,FXRDNKM,405.09,0.66
11/30/1965,FXRDNKM,440.24,0.72
12/31/1965,FXRDNKM,489.59,0.72
01/31/1966,FXRDNKM,490.39,0.72
02/28/1966,FXRDNKM,477.11,0.7
03/31/1966,FXRDNKM,519.76,0.76
04/30/1966,FXRDNKM,488.96,0.72
05/31/1966,FXRDNKM,468.66,0.69
06/30/1966,FXRDNKM,479.66,0.7
07/31/1966,FXRDNKM,434.06,0.64
08/31/1966,FXRDNKM,407.96,0.6
09/30/1966,FXRDNKM,450.52,0.66
10/31/1966,FXRDNKM,433.22,0.63
11/30/1966,FXRDNKM,439.84,0.64
12/31/1966,FXRDNKM,489.08,0.69
01/31/1967,FXRDNKM,472.38,0.67
02/28/1967,FXRDNKM,470.68,0.67
03/31/1967,FXRDNKM,480.18,0.68
04/30/1967,FXRDNKM,474.78,0.67
05/31/1967,FXRDNKM,433.28,0.62
06/30/1967,FXRDNKM,434.88,0.62
07/31/1967,FXRDNKM,397.08,0.56
08/30/1967,FXRDNKM,383.75,0.55
09/30/1967,FXRDNKM,426.25,0.61
10/31/1967,FXRDNKM,376.68,0.54
11/30/1967,FXRDNKM,379.38,0.54
12/31/1967,FXRDNKM,426.88,0.55
01/31/1968,FXRDNKM,395.48,0.51
02/29/1968,FXRDNKM,416.18,0.54
03/31/1968,FXRDNKM,402.78,0.52
04/30/1968,FXRDNKM,373.68,0.48
05/31/1968,FXRDNKM,337.88,0.44
06/30/1968,FXRDNKM,354.59,0.46
07/31/1968,FXRDNKM,314.69,0.41
08/30/1968,FXRDNKM,294.04,0.38
09/30/1968,FXRDNKM,370.74,0.48
10/31/1968,FXRDNKM,296.14,0.38
11/30/1968,FXRDNKM,320.16,0.42
12/31/1968,FXRDNKM,334.82,0.39
01/31/1969,FXRDNKM,275.12,0.32
02/28/1969,FXRDNKM,260.4,0.31
03/31/1969,FXRDNKM,218.26,0.26
04/30/1969,FXRDNKM,207.16,0.24
05/31/1969,FXRDNKM,360.86,0.42
06/30/1969,FXRDNKM,282.96,0.33
07/31/1969,FXRDNKM,267.28,0.31
08/31/1969,FXRDNKM,197.58,0.23
09/30/1969,FXRDNKM,226.39,0.27
10/31/1969,FXRDNKM,257.05,0.3
11/30/1969,FXRDNKM,306.86,0.36
12/31/1969,FXRDNKM,357.36,0.37
01/31/1970,FXRDNKM,311.14,0.32
02/28/1970,FXRDNKM,319.94,0.33
03/31/1970,FXRDNKM,359.84,0.37
04/30/1970,FXRDNKM,289.55,0.3
05/31/1970,FXRDNKM,273.55,0.28
06/30/1970,FXRDNKM,253.26,0.26
07/31/1970,FXRDNKM,234.85,0.24
08/31/1970,FXRDNKM,281.91,0.29
09/30/1970,FXRDNKM,303.66,0.31
10/31/1970,FXRDNKM,363.26,0.38
11/30/1970,FXRDNKM,399.05,0.41
12/31/1970,FXRDNKM,419.03,0.39
01/31/1971,FXRDNKM,442.69,0.41
02/28/1971,FXRDNKM,479.38,0.45
03/31/1971,FXRDNKM,530,0.5
04/30/1971,FXRDNKM,409.76,0.38
05/31/1971,FXRDNKM,359.86,0.34
06/30/1971,FXRDNKM,359.76,0.34
07/31/1971,FXRDNKM,369.56,0.35
08/31/1971,FXRDNKM,358.86,0.34
09/30/1971,FXRDNKM,357.76,0.33
10/31/1971,FXRDNKM,405.13,0.38
11/30/1971,FXRDNKM,525.43,0.49
12/31/1971,FXRDNKM,652.946,0.55
01/31/1972,FXRDNKM,708.769,0.6
02/29/1972,FXRDNKM,779.99,0.66
03/31/1972,FXRDNKM,788.322,0.67
04/30/1972,FXRDNKM,744.959,0.63
05/31/1972,FXRDNKM,740.859,0.63
06/30/1972,FXRDNKM,717.359,0.61
07/31/1972,FXRDNKM,694.559,0.59
08/31/1972,FXRDNKM,724.859,0.61
09/30/1972,FXRDNKM,646.859,0.55
10/31/1972,FXRDNKM,634.738,0.54
11/30/1972,FXRDNKM,723.738,0.61
12/31/1972,FXRDNKM,785.938,0.58
01/31/1973,FXRDNKM,823.738,0.61
02/28/1973,FXRDNKM,958.887,0.71
03/31/1973,FXRDNKM,997.887,0.74
04/30/1973,FXRDNKM,1088.48,0.81
05/31/1973,FXRDNKM,1096.85,0.81
06/30/1973,FXRDNKM,1088.25,0.81
07/31/1973,FXRDNKM,1035.26,0.77
08/31/1973,FXRDNKM,832.264,0.62
09/30/1973,FXRDNKM,861.764,0.64
10/31/1973,FXRDNKM,889.632,0.66
11/30/1973,FXRDNKM,1141.83,0.85
12/31/1973,FXRDNKM,1247.36,0.79
01/31/1974,FXRDNKM,1082.98,0.69
02/28/1974,FXRDNKM,996.374,0.63
03/31/1974,FXRDNKM,944.068,0.6
04/30/1974,FXRDNKM,984.822,0.62
05/31/1974,FXRDNKM,787.688,0.5
06/30/1974,FXRDNKM,721.738,0.46
07/31/1974,FXRDNKM,702.611,0.45
08/31/1974,FXRDNKM,739.85,0.47
09/30/1974,FXRDNKM,692.443,0.44
10/31/1974,FXRDNKM,698.592,0.44
11/30/1974,FXRDNKM,757.642,0.48
12/31/1974,FXRDNKM,857.608,0.48
01/31/1975,FXRDNKM,839.1,0.47
02/28/1975,FXRDNKM,781.882,0.44
03/31/1975,FXRDNKM,849.614,0.47
04/30/1975,FXRDNKM,762.69,0.42
05/31/1975,FXRDNKM,768.395,0.43
06/30/1975,FXRDNKM,786.007,0.44
07/31/1975,FXRDNKM,718.01,0.4
08/31/1975,FXRDNKM,743.541,0.41
09/30/1975,FXRDNKM,782.102,0.44
10/31/1975,FXRDNKM,821.978,0.46
11/30/1975,FXRDNKM,809.168,0.45
12/31/1975,FXRDNKM,802.716,0.4
01/31/1976,FXRDNKM,790.755,0.39
02/29/1976,FXRDNKM,778.452,0.39
03/31/1976,FXRDNKM,1123.38,0.56
04/30/1976,FXRDNKM,1081.54,0.54
05/31/1976,FXRDNKM,967.539,0.48
06/30/1976,FXRDNKM,927.781,0.46
07/31/1976,FXRDNKM,626.001,0.31
08/30/1976,FXRDNKM,741.76,0.37
09/30/1976,FXRDNKM,539.364,0.27
10/31/1976,FXRDNKM,707.927,0.35
11/30/1976,FXRDNKM,714.309,0.36
12/31/1976,FXRDNKM,841.496,0.36
01/31/1977,FXRDNKM,999.256,0.43
