Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRJPNM,Japan Total Foreign Exchange Reserves Excluding Gold,International Liquidity,United States Dollar,Japan,,,,,,,National Currency,Millions,Stock,None,Monthly From Jan 1957 To Jan 2020<BR>,Source: World Bank,
Date,Ticker,Close,Percent_Gdp
01/31/1957,FXRJPNM,1187.5,0.01
02/28/1957,FXRJPNM,1113.5,0.01
03/31/1957,FXRJPNM,1040.5,0.01
04/30/1957,FXRJPNM,983.5,0.01
05/31/1957,FXRJPNM,902.5,0.01
06/30/1957,FXRJPNM,811.5,0.01
07/31/1957,FXRJPNM,751,0.01
08/31/1957,FXRJPNM,744,0.01
09/30/1957,FXRJPNM,731,0.01
10/31/1957,FXRJPNM,751,0.01
11/30/1957,FXRJPNM,767,0.01
12/31/1957,FXRJPNM,805,0.01
01/31/1958,FXRJPNM,803,0.01
02/28/1958,FXRJPNM,841,0.01
03/31/1958,FXRJPNM,900,0.01
04/30/1958,FXRJPNM,753,0.01
05/31/1958,FXRJPNM,786,0.01
06/30/1958,FXRJPNM,806,0.01
07/31/1958,FXRJPNM,833,0.01
08/31/1958,FXRJPNM,885,0.01
09/30/1958,FXRJPNM,868,0.01
10/31/1958,FXRJPNM,915,0.01
11/30/1958,FXRJPNM,983.5,0.01
12/31/1958,FXRJPNM,1008.5,0.01
01/31/1959,FXRJPNM,857.5,0.01
02/28/1959,FXRJPNM,926.5,0.01
03/31/1959,FXRJPNM,917.5,0.01
04/30/1959,FXRJPNM,943.5,0.01
05/31/1959,FXRJPNM,982.5,0.01
06/30/1959,FXRJPNM,993.5,0.01
07/31/1959,FXRJPNM,1020.5,0.01
08/31/1959,FXRJPNM,1000.5,0.01
09/30/1959,FXRJPNM,1090,0.01
10/31/1959,FXRJPNM,1131,0.01
11/30/1959,FXRJPNM,1173,0.01
12/31/1959,FXRJPNM,1202,0.01
01/31/1960,FXRJPNM,1209,0.01
02/29/1960,FXRJPNM,1202,0.01
03/31/1960,FXRJPNM,1242,0.01
04/30/1960,FXRJPNM,1266,0.01
05/31/1960,FXRJPNM,1300,0.01
06/30/1960,FXRJPNM,1332,0.01
07/31/1960,FXRJPNM,1385,0.01
08/31/1960,FXRJPNM,1447,0.01
09/30/1960,FXRJPNM,1536,0.01
10/31/1960,FXRJPNM,1595,0.01
11/30/1960,FXRJPNM,1638,0.01
12/31/1960,FXRJPNM,1702,0.01
01/31/1961,FXRJPNM,1763,0.01
02/28/1961,FXRJPNM,1815,0.01
03/31/1961,FXRJPNM,1875,0.01
04/30/1961,FXRJPNM,1913,0.01
05/31/1961,FXRJPNM,1844,0.01
06/30/1961,FXRJPNM,1790,0.01
07/31/1961,FXRJPNM,1715,0.01
08/31/1961,FXRJPNM,1604,0.01
09/30/1961,FXRJPNM,1518,0.01
10/31/1961,FXRJPNM,1403,0.01
11/30/1961,FXRJPNM,1385,0.01
12/31/1961,FXRJPNM,1379,0.01
01/31/1962,FXRJPNM,1403,0.01
02/28/1962,FXRJPNM,1407,0.01
03/31/1962,FXRJPNM,1454,0.01
04/30/1962,FXRJPNM,1451,0.01
05/31/1962,FXRJPNM,1478,0.01
06/30/1962,FXRJPNM,1515,0.01
07/31/1962,FXRJPNM,1527,0.01
08/31/1962,FXRJPNM,1539,0.01
09/30/1962,FXRJPNM,1612,0.01
10/31/1962,FXRJPNM,1696,0.01
11/30/1962,FXRJPNM,1684,0.01
12/31/1962,FXRJPNM,1732.01,0.01
01/31/1963,FXRJPNM,1775,0.01
02/28/1963,FXRJPNM,1747,0.01
03/31/1963,FXRJPNM,1754,0.01
04/30/1963,FXRJPNM,1769,0.01
05/31/1963,FXRJPNM,1785,0.01
06/30/1963,FXRJPNM,1793,0.01
07/31/1963,FXRJPNM,1774,0.01
08/31/1963,FXRJPNM,1800,0.01
09/30/1963,FXRJPNM,1797,0.01
10/31/1963,FXRJPNM,1813,0.01
11/30/1963,FXRJPNM,1802,0.01
12/31/1963,FXRJPNM,1769.01,0.01
01/31/1964,FXRJPNM,1746,0.01
02/29/1964,FXRJPNM,1692,0.01
03/31/1964,FXRJPNM,1707,0.01
04/30/1964,FXRJPNM,1685,0.01
05/31/1964,FXRJPNM,1640,0.01
06/30/1964,FXRJPNM,1647,0.01
07/31/1964,FXRJPNM,1625.03,0.01
08/31/1964,FXRJPNM,1637.08,0.01
09/30/1964,FXRJPNM,1649.08,0.01
10/31/1964,FXRJPNM,1616.08,0.01
11/30/1964,FXRJPNM,1634.08,0.01
12/31/1964,FXRJPNM,1715.08,0.01
01/31/1965,FXRJPNM,1743.08,0.01
02/28/1965,FXRJPNM,1766.16,0.01
03/31/1965,FXRJPNM,1769.67,0.01
04/30/1965,FXRJPNM,1735.17,0.01
05/31/1965,FXRJPNM,1731.17,0.01
06/30/1965,FXRJPNM,1698.17,0.01
07/31/1965,FXRJPNM,1668.16,0.01
08/31/1965,FXRJPNM,1681.79,0.01
09/30/1965,FXRJPNM,1687.29,0.01
10/31/1965,FXRJPNM,1716.29,0.01
11/30/1965,FXRJPNM,1803.29,0.01
12/31/1965,FXRJPNM,1824.29,0.01
01/31/1966,FXRJPNM,1799.29,0.01
02/28/1966,FXRJPNM,1826.29,0.01
03/31/1966,FXRJPNM,1826.54,0.01
04/30/1966,FXRJPNM,1814.52,0.01
05/31/1966,FXRJPNM,1812.52,0.01
06/30/1966,FXRJPNM,1820.52,0.01
07/31/1966,FXRJPNM,1769.52,0.01
08/31/1966,FXRJPNM,1779.09,0.01
09/30/1966,FXRJPNM,1760.09,0.01
10/31/1966,FXRJPNM,1735.09,0.01
11/30/1966,FXRJPNM,1760.09,0.01
12/31/1966,FXRJPNM,1790.1,0
01/31/1967,FXRJPNM,1768.09,0
02/28/1967,FXRJPNM,1766.09,0
03/31/1967,FXRJPNM,1792.41,0
04/30/1967,FXRJPNM,1807.41,0
05/31/1967,FXRJPNM,1805.4,0
06/30/1967,FXRJPNM,1769.4,0
07/31/1967,FXRJPNM,1730.02,0
08/30/1967,FXRJPNM,1675.02,0
09/30/1967,FXRJPNM,1712.02,0
10/31/1967,FXRJPNM,1682.22,0
11/30/1967,FXRJPNM,1651.63,0
12/31/1967,FXRJPNM,1691.63,0
01/31/1968,FXRJPNM,1657.63,0
02/29/1968,FXRJPNM,1686.43,0
03/31/1968,FXRJPNM,1647.33,0
04/30/1968,FXRJPNM,1577.8,0
05/31/1968,FXRJPNM,1602.6,0
06/30/1968,FXRJPNM,1646.1,0
07/31/1968,FXRJPNM,1742.05,0
08/30/1968,FXRJPNM,1888.29,0
09/30/1968,FXRJPNM,2025.39,0
10/31/1968,FXRJPNM,2219.04,0
11/30/1968,FXRJPNM,2437.04,0.01
12/31/1968,FXRJPNM,2550.04,0
