Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRMYSM,Malaysia Total Foreign Exchange Reserves Excluding Gold,International Liquidity,United States Dollar,Malaysia,,,,,,,National Currency,Millions,Stock,None,Monthly From Aug 1959 To Jan 2020<BR>,Source: World Bank,
Date,Ticker,Close,Percent_Gdp
08/31/1959,FXRMYSM,413,8.44
09/30/1959,FXRMYSM,422,8.62
10/31/1959,FXRMYSM,423,8.64
11/30/1959,FXRMYSM,430,8.78
12/31/1959,FXRMYSM,450,8.14
01/31/1960,FXRMYSM,463,8.38
02/29/1960,FXRMYSM,460,8.32
03/31/1960,FXRMYSM,463,8.38
04/30/1960,FXRMYSM,465,8.41
05/31/1960,FXRMYSM,460,8.32
06/30/1960,FXRMYSM,468,8.47
07/31/1960,FXRMYSM,463,8.38
08/31/1960,FXRMYSM,461,8.34
09/30/1960,FXRMYSM,466,8.43
10/31/1960,FXRMYSM,467,8.45
11/30/1960,FXRMYSM,474,8.58
12/31/1960,FXRMYSM,471,8.03
01/31/1961,FXRMYSM,469,8
02/28/1961,FXRMYSM,476,8.11
03/31/1961,FXRMYSM,471,8.03
04/30/1961,FXRMYSM,467,7.96
05/31/1961,FXRMYSM,462,7.88
06/30/1961,FXRMYSM,466,7.94
07/31/1961,FXRMYSM,468,7.98
08/31/1961,FXRMYSM,462,7.88
09/30/1961,FXRMYSM,451,7.69
10/31/1961,FXRMYSM,456,7.77
11/30/1961,FXRMYSM,456,7.77
12/31/1961,FXRMYSM,472,8.11
01/31/1962,FXRMYSM,478,8.21
02/28/1962,FXRMYSM,477,8.19
03/31/1962,FXRMYSM,478,8.21
04/30/1962,FXRMYSM,475,8.16
05/31/1962,FXRMYSM,473,8.12
06/30/1962,FXRMYSM,473,8.12
07/31/1962,FXRMYSM,478,8.21
08/31/1962,FXRMYSM,482.76,8.29
09/30/1962,FXRMYSM,478.76,8.22
10/31/1962,FXRMYSM,482.38,8.29
11/30/1962,FXRMYSM,482.38,8.29
12/31/1962,FXRMYSM,528.39,8.62
01/31/1963,FXRMYSM,538.38,8.79
02/28/1963,FXRMYSM,542.38,8.85
03/31/1963,FXRMYSM,543.38,8.87
04/30/1963,FXRMYSM,531.38,8.67
05/31/1963,FXRMYSM,529.38,8.64
06/30/1963,FXRMYSM,531.38,8.67
07/31/1963,FXRMYSM,524.38,8.56
08/31/1963,FXRMYSM,526.57,8.59
09/30/1963,FXRMYSM,533.57,8.71
10/31/1963,FXRMYSM,536.2,8.75
11/30/1963,FXRMYSM,537.2,8.77
12/31/1963,FXRMYSM,547.2,7.12
01/31/1964,FXRMYSM,549.2,7.15
02/29/1964,FXRMYSM,553.39,7.2
03/31/1964,FXRMYSM,550.39,7.16
04/30/1964,FXRMYSM,565.39,7.36
05/31/1964,FXRMYSM,562.39,7.32
06/30/1964,FXRMYSM,561.39,7.31
07/31/1964,FXRMYSM,564.39,7.35
08/31/1964,FXRMYSM,570.39,7.42
09/30/1964,FXRMYSM,563.39,7.33
10/31/1964,FXRMYSM,568.39,7.4
11/30/1964,FXRMYSM,576.39,7.5
12/31/1964,FXRMYSM,586.4,7.16
01/31/1965,FXRMYSM,587.39,7.17
02/28/1965,FXRMYSM,599.39,7.32
03/31/1965,FXRMYSM,586.39,7.16
01/31/1967,FXRMYSM,501.22,5.21
02/28/1967,FXRMYSM,504.22,5.24
03/31/1967,FXRMYSM,513.48,5.34
04/30/1967,FXRMYSM,489.68,5.09
05/31/1967,FXRMYSM,492.68,5.12
06/30/1967,FXRMYSM,491.68,5.11
07/31/1967,FXRMYSM,464,4.82
08/30/1967,FXRMYSM,481.68,5.01
09/30/1967,FXRMYSM,485.68,5.05
10/31/1967,FXRMYSM,488.68,5.08
11/30/1967,FXRMYSM,430.68,4.48
12/31/1967,FXRMYSM,425.69,4.36
01/31/1968,FXRMYSM,410.68,4.21
