Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRNORM,Norway Total Foreign Exchange Reserves Excluding Gold,International Liquidity,United States Dollar,Norway,,,,,,,National Currency,Millions,Stock,None,Monthly From Jan 1957 To Jan 2020<BR>,Source: World Bank,
Date,Ticker,Open,High,Low,Close,Percent_Gdp
01/31/1957,FXRNORM,,,,150.42,0.55
02/28/1957,FXRNORM,,,,142.22,0.52
03/31/1957,FXRNORM,,,,154.02,0.56
04/30/1957,FXRNORM,,,,150.12,0.55
05/31/1957,FXRNORM,,,,147.42,0.54
06/30/1957,FXRNORM,,,,143.42,0.52
07/31/1957,FXRNORM,,,,159.62,0.58
08/31/1957,FXRNORM,,,,141.92,0.52
09/30/1957,FXRNORM,,,,146.12,0.53
10/31/1957,FXRNORM,,,,144.72,0.53
11/30/1957,FXRNORM,,,,144.12,0.52
12/31/1957,FXRNORM,,,,151.91,0.52
01/31/1958,FXRNORM,,,,141.52,0.48
02/28/1958,FXRNORM,,,,142.22,0.49
03/31/1958,FXRNORM,,,,160.92,0.55
04/30/1958,FXRNORM,,,,163.82,0.56
05/31/1958,FXRNORM,,,,161.72,0.55
06/30/1958,FXRNORM,,,,160.22,0.55
07/31/1958,FXRNORM,,,,167.92,0.57
08/31/1958,FXRNORM,,,,161.22,0.55
09/30/1958,FXRNORM,,,,176.02,0.6
10/31/1958,FXRNORM,,,,192.62,0.66
11/30/1958,FXRNORM,,,,198.82,0.68
12/31/1958,FXRNORM,,,,213.02,0.73
01/31/1959,FXRNORM,,,,195.52,0.67
02/28/1959,FXRNORM,,,,195.72,0.67
03/31/1959,FXRNORM,,,,197.32,0.68
04/30/1959,FXRNORM,,,,196.92,0.67
05/31/1959,FXRNORM,,,,207.32,0.71
06/30/1959,FXRNORM,,,,206.42,0.71
07/31/1959,FXRNORM,,,,214.32,0.73
08/31/1959,FXRNORM,,,,209.92,0.72
09/30/1959,FXRNORM,,,,228.72,0.78
10/31/1959,FXRNORM,,,,230.42,0.79
11/30/1959,FXRNORM,,,,237.02,0.81
12/31/1959,FXRNORM,,,,250.82,0.81
01/31/1960,FXRNORM,,,,241.22,0.78
02/29/1960,FXRNORM,,,,252.12,0.81
03/31/1960,FXRNORM,,,,258.42,0.83
04/30/1960,FXRNORM,,,,260.92,0.84
05/31/1960,FXRNORM,,,,275.32,0.89
06/30/1960,FXRNORM,,,,264.82,0.86
07/31/1960,FXRNORM,,,,258.82,0.84
08/31/1960,FXRNORM,,,,257.52,0.83
09/30/1960,FXRNORM,,,,262.92,0.85
10/31/1960,FXRNORM,,,,252.22,0.81
11/30/1960,FXRNORM,,,,265.42,0.86
12/31/1960,FXRNORM,,,,277.42,0.84
01/31/1961,FXRNORM,,,,255.92,0.77
02/28/1961,FXRNORM,,,,252.22,0.76
03/31/1961,FXRNORM,,,,259.82,0.79
04/30/1961,FXRNORM,,,,252.92,0.77
05/31/1961,FXRNORM,,,,272.72,0.82
06/30/1961,FXRNORM,,,,263.32,0.8
07/31/1961,FXRNORM,,,,267.52,0.81
08/31/1961,FXRNORM,,,,257.72,0.78
09/30/1961,FXRNORM,,,,264.82,0.8
10/31/1961,FXRNORM,,,,254.92,0.77
11/30/1961,FXRNORM,,,,263.12,0.8
12/31/1961,FXRNORM,,,,272.92,0.7
01/31/1962,FXRNORM,,,,241.42,0.62
02/28/1962,FXRNORM,,,,234.72,0.6
03/31/1962,FXRNORM,,,,236.52,0.6
04/30/1962,FXRNORM,,,,232.82,0.59
05/31/1962,FXRNORM,,,,232.32,0.59
06/30/1962,FXRNORM,,,,224.22,0.57
07/31/1962,FXRNORM,,,,234.02,0.6
08/31/1962,FXRNORM,,,,246.32,0.63
09/30/1962,FXRNORM,,,,246.12,0.63
10/31/1962,FXRNORM,,,,241.62,0.62
11/30/1962,FXRNORM,,,,259.42,0.66
12/31/1962,FXRNORM,,,,273.43,0.65
01/31/1963,FXRNORM,,,,259.42,0.61
02/28/1963,FXRNORM,,,,274.22,0.65
03/31/1963,FXRNORM,,,,297.22,0.7
04/30/1963,FXRNORM,,,,300.92,0.71
05/31/1963,FXRNORM,,,,327.32,0.77
06/30/1963,FXRNORM,,,,325.32,0.77
07/31/1963,FXRNORM,,,,332.92,0.79
08/31/1963,FXRNORM,,,,325.92,0.77
09/30/1963,FXRNORM,,,,314.92,0.74
10/31/1963,FXRNORM,,,,306.82,0.73
11/30/1963,FXRNORM,,,,305.72,0.72
12/31/1963,FXRNORM,,,,323.33,0.71
01/31/1964,FXRNORM,,,,291.62,0.64
02/29/1964,FXRNORM,,,,289.02,0.63
03/31/1964,FXRNORM,,,,299.82,0.66
04/30/1964,FXRNORM,,,,302.92,0.66
05/31/1964,FXRNORM,,,,341.42,0.75
06/30/1964,FXRNORM,,,,337.22,0.74
07/31/1964,FXRNORM,,,,347.32,0.76
08/31/1964,FXRNORM,,,,344.12,0.75
09/30/1964,FXRNORM,,,,349.72,0.77
10/31/1964,FXRNORM,,,,347.14,0.76
11/30/1964,FXRNORM,,,,341.04,0.75
12/31/1964,FXRNORM,,,,356.24,0.71
01/31/1965,FXRNORM,,,,304.44,0.6
02/28/1965,FXRNORM,,,,313.44,0.62
03/31/1965,FXRNORM,,,,359.64,0.71
04/30/1965,FXRNORM,,,,353.94,0.7
05/31/1965,FXRNORM,,,,374.04,0.74
06/30/1965,FXRNORM,,,,391.44,0.78
07/31/1965,FXRNORM,,,,391.34,0.78
08/31/1965,FXRNORM,,,,374.04,0.74
09/30/1965,FXRNORM,,,,369.05,0.73
10/31/1965,FXRNORM,,,,378.65,0.75
11/30/1965,FXRNORM,,,,393.65,0.78
12/31/1965,FXRNORM,,,,445.15,0.8
01/31/1966,FXRNORM,,,,369.05,0.66
02/28/1966,FXRNORM,,,,388.65,0.7
03/31/1966,FXRNORM,,,,425.05,0.76
04/30/1966,FXRNORM,,,,452.35,0.81
05/31/1966,FXRNORM,,,,468.35,0.84
06/30/1966,FXRNORM,,,,473.95,0.85
07/31/1966,FXRNORM,,,,488.65,0.88
08/31/1966,FXRNORM,,,,469.35,0.84
09/30/1966,FXRNORM,,,,469.15,0.84
10/31/1966,FXRNORM,,,,464.45,0.83
11/30/1966,FXRNORM,,,,473.25,0.85
12/31/1966,FXRNORM,,,,509.36,0.93
01/31/1967,FXRNORM,,,,442.16,0.81
02/28/1967,FXRNORM,,,,459.76,0.84
03/31/1967,FXRNORM,,,,502.36,0.92
04/30/1967,FXRNORM,,,,532.96,0.98
05/31/1967,FXRNORM,,,,556.96,1.02
06/30/1967,FXRNORM,,,,583.06,1.07
07/31/1967,FXRNORM,,,,593.48,1.09
08/30/1967,FXRNORM,,,,610.88,1.12
09/30/1967,FXRNORM,,,,606.43,1.11
