Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRSWEM,Sweden Total Foreign Exchange Reserves Excluding Gold,International Liquidity,United States Dollar,Sweden,,,,,,,National Currency,Millions,Stock,None,Monthly From Jan 1957 To Jan 2020<BR>,Source: World Bank,
Date,Ticker,Close,Percent_Gdp
01/31/1957,FXRSWEM,234.02,0.43
02/28/1957,FXRSWEM,223.02,0.41
03/31/1957,FXRSWEM,249.02,0.46
04/30/1957,FXRSWEM,240.02,0.45
05/31/1957,FXRSWEM,260.02,0.48
06/30/1957,FXRSWEM,271.02,0.5
07/31/1957,FXRSWEM,276.02,0.51
08/31/1957,FXRSWEM,257.02,0.48
09/30/1957,FXRSWEM,253.02,0.47
10/31/1957,FXRSWEM,268.02,0.5
11/30/1957,FXRSWEM,254.02,0.47
12/31/1957,FXRSWEM,262.01,0.45
01/31/1958,FXRSWEM,260.02,0.45
02/28/1958,FXRSWEM,251.02,0.44
03/31/1958,FXRSWEM,258.02,0.45
04/30/1958,FXRSWEM,253.02,0.44
05/31/1958,FXRSWEM,265.02,0.46
06/30/1958,FXRSWEM,269.02,0.47
07/31/1958,FXRSWEM,280.02,0.49
08/31/1958,FXRSWEM,289.02,0.5
09/30/1958,FXRSWEM,295.02,0.51
10/31/1958,FXRSWEM,285.02,0.49
11/30/1958,FXRSWEM,292.02,0.51
12/31/1958,FXRSWEM,294.02,0.48
01/31/1959,FXRSWEM,297.02,0.49
02/28/1959,FXRSWEM,297.02,0.49
03/31/1959,FXRSWEM,299.02,0.49
04/30/1959,FXRSWEM,308.02,0.51
05/31/1959,FXRSWEM,308.02,0.51
06/30/1959,FXRSWEM,317.02,0.52
07/31/1959,FXRSWEM,321.02,0.53
08/31/1959,FXRSWEM,322.02,0.53
09/30/1959,FXRSWEM,330.53,0.54
10/31/1959,FXRSWEM,282.53,0.46
11/30/1959,FXRSWEM,285.53,0.47
12/31/1959,FXRSWEM,270.53,0.42
01/31/1960,FXRSWEM,204.53,0.31
02/29/1960,FXRSWEM,234.53,0.36
03/31/1960,FXRSWEM,264.53,0.41
04/30/1960,FXRSWEM,309.53,0.48
05/31/1960,FXRSWEM,311.53,0.48
06/30/1960,FXRSWEM,326.53,0.5
07/31/1960,FXRSWEM,321.53,0.49
08/31/1960,FXRSWEM,342.53,0.53
09/30/1960,FXRSWEM,344.53,0.53
10/31/1960,FXRSWEM,339.53,0.52
11/30/1960,FXRSWEM,331.53,0.51
12/31/1960,FXRSWEM,332.53,0.47
01/31/1961,FXRSWEM,345.53,0.49
02/28/1961,FXRSWEM,360.53,0.51
03/31/1961,FXRSWEM,396.53,0.56
04/30/1961,FXRSWEM,437.53,0.62
05/31/1961,FXRSWEM,490.53,0.69
06/30/1961,FXRSWEM,516.53,0.73
07/31/1961,FXRSWEM,532.53,0.75
08/31/1961,FXRSWEM,541.54,0.76
09/30/1961,FXRSWEM,539.54,0.76
10/31/1961,FXRSWEM,542.54,0.76
11/30/1961,FXRSWEM,551.54,0.78
12/31/1961,FXRSWEM,550.54,0.71
01/31/1962,FXRSWEM,558.54,0.72
02/28/1962,FXRSWEM,563.54,0.73
03/31/1962,FXRSWEM,571.54,0.74
04/30/1962,FXRSWEM,593.54,0.76
05/31/1962,FXRSWEM,613.54,0.79
06/30/1962,FXRSWEM,610.54,0.79
07/31/1962,FXRSWEM,615.54,0.79
08/31/1962,FXRSWEM,626.54,0.81
09/30/1962,FXRSWEM,621.54,0.8
10/31/1962,FXRSWEM,626.54,0.81
11/30/1962,FXRSWEM,624.54,0.8
12/31/1962,FXRSWEM,620.54,0.73
01/31/1963,FXRSWEM,622.54,0.73
02/28/1963,FXRSWEM,628.52,0.74
03/31/1963,FXRSWEM,620.52,0.73
04/30/1963,FXRSWEM,602.52,0.71
05/31/1963,FXRSWEM,599.52,0.71
06/30/1963,FXRSWEM,609.52,0.72
07/31/1963,FXRSWEM,612.52,0.72
08/31/1963,FXRSWEM,608.52,0.72
09/30/1963,FXRSWEM,619.52,0.73
10/31/1963,FXRSWEM,587.52,0.69
11/30/1963,FXRSWEM,591.52,0.7
12/31/1963,FXRSWEM,576.52,0.63
01/31/1964,FXRSWEM,585.52,0.64
02/29/1964,FXRSWEM,587.52,0.64
03/31/1964,FXRSWEM,598.53,0.65
04/30/1964,FXRSWEM,596.53,0.65
05/31/1964,FXRSWEM,604.53,0.66
06/30/1964,FXRSWEM,631.53,0.69
07/31/1964,FXRSWEM,644.53,0.7
08/31/1964,FXRSWEM,657.53,0.71
09/30/1964,FXRSWEM,713.86,0.78
10/31/1964,FXRSWEM,698.54,0.76
11/30/1964,FXRSWEM,734.54,0.8
12/31/1964,FXRSWEM,775.54,0.75
01/31/1965,FXRSWEM,795.54,0.77
02/28/1965,FXRSWEM,823.54,0.8
03/31/1965,FXRSWEM,869.54,0.85
04/30/1965,FXRSWEM,870.55,0.85
05/31/1965,FXRSWEM,856.55,0.83
06/30/1965,FXRSWEM,838.55,0.82
07/31/1965,FXRSWEM,841.55,0.82
08/31/1965,FXRSWEM,836.55,0.81
09/30/1965,FXRSWEM,837.55,0.81
10/31/1965,FXRSWEM,819.55,0.8
11/30/1965,FXRSWEM,795.55,0.77
12/31/1965,FXRSWEM,769.56,0.68
01/31/1966,FXRSWEM,771.55,0.68
02/28/1966,FXRSWEM,775.55,0.68
03/31/1966,FXRSWEM,809.31,0.71
04/30/1966,FXRSWEM,814.29,0.72
05/31/1966,FXRSWEM,835.29,0.74
06/30/1966,FXRSWEM,840.29,0.74
07/31/1966,FXRSWEM,845.29,0.75
08/31/1966,FXRSWEM,848.31,0.75
09/30/1966,FXRSWEM,851.31,0.75
10/31/1966,FXRSWEM,822.31,0.72
11/30/1966,FXRSWEM,829.31,0.73
12/31/1966,FXRSWEM,824.32,0.67
01/31/1967,FXRSWEM,779.33,0.63
02/28/1967,FXRSWEM,783.33,0.63
03/31/1967,FXRSWEM,786.33,0.63
04/30/1967,FXRSWEM,789.83,0.64
05/31/1967,FXRSWEM,801.83,0.65
06/30/1967,FXRSWEM,804.83,0.65
07/31/1967,FXRSWEM,806.04,0.65
08/30/1967,FXRSWEM,811.7,0.66
09/30/1967,FXRSWEM,825.7,0.67
10/31/1967,FXRSWEM,792.71,0.64
11/30/1967,FXRSWEM,660.51,0.53
12/31/1967,FXRSWEM,637.52,0.47
01/31/1968,FXRSWEM,678.51,0.51
02/29/1968,FXRSWEM,688.51,0.51
03/31/1968,FXRSWEM,705.51,0.53
04/30/1968,FXRSWEM,722.87,0.54
05/31/1968,FXRSWEM,747.32,0.56
06/30/1968,FXRSWEM,730.32,0.54
07/31/1968,FXRSWEM,726.61,0.54
08/30/1968,FXRSWEM,724.55,0.54
09/30/1968,FXRSWEM,723.97,0.54
10/31/1968,FXRSWEM,711.81,0.53
11/30/1968,FXRSWEM,655.72,0.49
12/31/1968,FXRSWEM,590.39,0.41
01/31/1969,FXRSWEM,593.89,0.42
02/28/1969,FXRSWEM,544.37,0.38
03/31/1969,FXRSWEM,525.37,0.37
04/30/1969,FXRSWEM,516.68,0.36
05/31/1969,FXRSWEM,429.68,0.3
06/30/1969,FXRSWEM,361.73,0.25
07/31/1969,FXRSWEM,324.73,0.23
08/31/1969,FXRSWEM,361.53,0.25
09/30/1969,FXRSWEM,319.83,0.22
10/31/1969,FXRSWEM,404.99,0.28
11/30/1969,FXRSWEM,461.99,0.32
12/31/1969,FXRSWEM,469.99,0.3
01/31/1970,FXRSWEM,519.79,0.33
02/28/1970,FXRSWEM,480.79,0.31
03/31/1970,FXRSWEM,428.79,0.28
04/30/1970,FXRSWEM,421.04,0.27
05/31/1970,FXRSWEM,417.09,0.27
06/30/1970,FXRSWEM,421.09,0.27
07/31/1970,FXRSWEM,444.09,0.29
08/31/1970,FXRSWEM,456.09,0.29
09/30/1970,FXRSWEM,446.23,0.29
10/31/1970,FXRSWEM,421.23,0.27
11/30/1970,FXRSWEM,487.23,0.31
12/31/1970,FXRSWEM,561.23,0.32
01/31/1971,FXRSWEM,637.01,0.37
02/28/1971,FXRSWEM,650.01,0.37
03/31/1971,FXRSWEM,667.01,0.38
04/30/1971,FXRSWEM,717,0.41
05/31/1971,FXRSWEM,732.3,0.42
06/30/1971,FXRSWEM,765,0.44
07/31/1971,FXRSWEM,795.2,0.46
08/31/1971,FXRSWEM,798.2,0.46
09/30/1971,FXRSWEM,798.2,0.46
10/31/1971,FXRSWEM,798.2,0.46
11/30/1971,FXRSWEM,807.2,0.46
12/31/1971,FXRSWEM,892.599,0.47
01/31/1972,FXRSWEM,956.001,0.51
02/29/1972,FXRSWEM,1021,0.54
03/31/1972,FXRSWEM,1117.96,0.59
04/30/1972,FXRSWEM,1120.55,0.6
05/31/1972,FXRSWEM,1137.53,0.6
06/30/1972,FXRSWEM,1176.53,0.63
07/31/1972,FXRSWEM,1180.53,0.63
08/31/1972,FXRSWEM,1183.79,0.63
09/30/1972,FXRSWEM,1184.79,0.63
10/31/1972,FXRSWEM,1198.79,0.64
11/30/1972,FXRSWEM,1291.86,0.69
12/31/1972,FXRSWEM,1357.85,0.66
01/31/1973,FXRSWEM,1384.48,0.67
02/28/1973,FXRSWEM,1657.37,0.8
03/31/1973,FXRSWEM,1871.37,0.91
04/30/1973,FXRSWEM,1966.95,0.96
05/31/1973,FXRSWEM,2037.04,0.99
06/30/1973,FXRSWEM,2135.04,1.04
07/31/1973,FXRSWEM,2186.06,1.06
