Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRLKAM,Sri Lanka Total Foreign Exchange Reserves Excluding Gold,International Liquidity,United States Dollar,Sri Lanka,,,,,,,National Currency,Millions,Stock,None,Monthly From Jan 1957 To Jan 2020<BR>,Source: World Bank,
Date,Ticker,Close,Percent_Gdp
01/31/1957,FXRLKAM,221.75,4.12
02/28/1957,FXRLKAM,217.75,4.04
03/31/1957,FXRLKAM,214.75,3.99
04/30/1957,FXRLKAM,209.75,3.9
05/31/1957,FXRLKAM,193.75,3.6
06/30/1957,FXRLKAM,190.75,3.54
07/31/1957,FXRLKAM,191.75,3.56
08/31/1957,FXRLKAM,197.75,3.67
09/30/1957,FXRLKAM,197.75,3.67
10/31/1957,FXRLKAM,194.75,3.62
11/30/1957,FXRLKAM,190.75,3.54
12/31/1957,FXRLKAM,186.75,3.33
01/31/1958,FXRLKAM,187.76,3.35
02/28/1958,FXRLKAM,188.76,3.37
03/31/1958,FXRLKAM,188.76,3.37
04/30/1958,FXRLKAM,180.76,3.22
05/31/1958,FXRLKAM,167.76,2.99
06/30/1958,FXRLKAM,166.76,2.97
07/31/1958,FXRLKAM,170.76,3.05
08/31/1958,FXRLKAM,176.76,3.15
09/30/1958,FXRLKAM,176.76,3.15
10/31/1958,FXRLKAM,174.76,3.12
11/30/1958,FXRLKAM,171.76,3.06
12/31/1958,FXRLKAM,175.76,2.96
01/31/1959,FXRLKAM,170.76,2.88
02/28/1959,FXRLKAM,171.76,2.89
03/31/1959,FXRLKAM,176.76,2.98
04/30/1959,FXRLKAM,169.76,2.86
05/31/1959,FXRLKAM,167.76,2.83
06/30/1959,FXRLKAM,164.76,2.78
07/31/1959,FXRLKAM,157.76,2.66
08/31/1959,FXRLKAM,154.76,2.61
09/30/1959,FXRLKAM,151.76,2.56
10/31/1959,FXRLKAM,148.26,2.5
11/30/1959,FXRLKAM,149.26,2.51
12/31/1959,FXRLKAM,143.26,2.25
01/31/1960,FXRLKAM,145.26,2.28
