Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRCHEM,Switzerland Total Foreign Exchange Reserves Excluding Gold,International Liquidity,United States Dollar,Switzerland,,,,,,,National Currency,Millions,Stock,None,Monthly From Jan 1959 To Jan 2020<BR>,Source: World Bank,
Date,Ticker,Close,Percent_Gdp
01/31/1959,FXRCHEM,107,0.33
02/28/1959,FXRCHEM,105,0.33
03/31/1959,FXRCHEM,113,0.35
04/30/1959,FXRCHEM,107,0.33
05/31/1959,FXRCHEM,113,0.35
06/30/1959,FXRCHEM,119,0.37
07/31/1959,FXRCHEM,97,0.3
08/31/1959,FXRCHEM,97,0.3
09/30/1959,FXRCHEM,97,0.3
10/31/1959,FXRCHEM,78,0.24
11/30/1959,FXRCHEM,95,0.3
12/31/1959,FXRCHEM,129,0.38
01/31/1960,FXRCHEM,118,0.35
02/29/1960,FXRCHEM,92,0.27
03/31/1960,FXRCHEM,100,0.29
04/30/1960,FXRCHEM,103,0.3
05/31/1960,FXRCHEM,136,0.4
06/30/1960,FXRCHEM,135,0.4
07/31/1960,FXRCHEM,162,0.48
08/31/1960,FXRCHEM,132,0.39
09/30/1960,FXRCHEM,134,0.39
10/31/1960,FXRCHEM,154,0.45
11/30/1960,FXRCHEM,128,0.38
12/31/1960,FXRCHEM,139,0.37
01/31/1961,FXRCHEM,154,0.41
02/28/1961,FXRCHEM,140,0.37
03/31/1961,FXRCHEM,372,1
04/30/1961,FXRCHEM,298,0.8
05/31/1961,FXRCHEM,307,0.82
06/30/1961,FXRCHEM,329,0.88
07/31/1961,FXRCHEM,322,0.86
08/31/1961,FXRCHEM,308,0.82
09/30/1961,FXRCHEM,277,0.74
10/31/1961,FXRCHEM,214,0.57
11/30/1961,FXRCHEM,199,0.53
12/31/1961,FXRCHEM,199,0.47
01/31/1962,FXRCHEM,181,0.43
02/28/1962,FXRCHEM,169,0.4
03/31/1962,FXRCHEM,163,0.39
04/30/1962,FXRCHEM,171,0.41
05/31/1962,FXRCHEM,168,0.4
06/30/1962,FXRCHEM,296,0.7
07/31/1962,FXRCHEM,229,0.54
08/31/1962,FXRCHEM,177,0.42
