Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRTWNM,"Taiwan, China Total Foreign Exchange Reserves Excluding Gold",International Liquidity,United States Dollar,Taiwan,,,,,,,National Currency,Millions,Stock,None,Monthly From Jan 1992 To Sep 2017<BR>,Source: World Bank,
Date,Ticker,Close,Percent_Gdp
01/31/1992,FXRTWNM,82799,1.65
02/28/1992,FXRTWNM,83215,1.66
03/31/1992,FXRTWNM,82536,1.64
04/30/1992,FXRTWNM,82786,1.65
05/31/1992,FXRTWNM,84580,1.69
06/30/1992,FXRTWNM,86632,1.73
07/31/1992,FXRTWNM,87995,1.75
08/31/1992,FXRTWNM,89441,1.78
09/30/1992,FXRTWNM,89503,1.78
10/31/1992,FXRTWNM,87311,1.74
11/30/1992,FXRTWNM,83938,1.67
12/31/1992,FXRTWNM,82306,1.47
01/31/1993,FXRTWNM,82517,1.47
02/28/1993,FXRTWNM,82452,1.47
03/31/1993,FXRTWNM,83200,1.48
04/30/1993,FXRTWNM,84933,1.51
05/31/1993,FXRTWNM,85604,1.53
06/30/1993,FXRTWNM,83997,1.5
07/31/1993,FXRTWNM,82810,1.48
08/31/1993,FXRTWNM,83722,1.49
09/30/1993,FXRTWNM,84919,1.51
10/31/1993,FXRTWNM,84164,1.5
11/30/1993,FXRTWNM,83853,1.49
12/31/1993,FXRTWNM,83573,1.35
01/31/1994,FXRTWNM,84103,1.36
02/28/1994,FXRTWNM,86163,1.39
03/31/1994,FXRTWNM,86807,1.4
04/30/1994,FXRTWNM,87256,1.41
05/31/1994,FXRTWNM,87791,1.42
06/30/1994,FXRTWNM,90143,1.45
07/31/1994,FXRTWNM,90393,1.46
08/31/1994,FXRTWNM,90986,1.47
09/30/1994,FXRTWNM,91776,1.48
10/31/1994,FXRTWNM,92276,1.49
11/30/1994,FXRTWNM,92263,1.49
12/31/1994,FXRTWNM,92454,1.36
01/31/1995,FXRTWNM,93203,1.37
02/28/1995,FXRTWNM,95193,1.4
03/31/1995,FXRTWNM,97934,1.44
04/30/1995,FXRTWNM,99528,1.47
05/31/1995,FXRTWNM,100316,1.48
06/30/1995,FXRTWNM,100412,1.48
07/31/1995,FXRTWNM,98961,1.46
08/31/1995,FXRTWNM,92988,1.37
09/30/1995,FXRTWNM,90607,1.34
10/31/1995,FXRTWNM,91504,1.35
11/30/1995,FXRTWNM,90775,1.34
12/31/1995,FXRTWNM,90310,1.22
01/31/1996,FXRTWNM,89560,1.21
02/28/1996,FXRTWNM,90080,1.22
03/31/1996,FXRTWNM,82546,1.12
04/30/1996,FXRTWNM,84709,1.15
05/31/1996,FXRTWNM,84763,1.15
06/30/1996,FXRTWNM,85179,1.15
07/31/1996,FXRTWNM,86124,1.17
08/30/1996,FXRTWNM,86387,1.17
09/30/1996,FXRTWNM,86678,1.17
10/31/1996,FXRTWNM,87253,1.18
11/30/1996,FXRTWNM,87687,1.19
12/31/1996,FXRTWNM,88038,1.1
01/31/1997,FXRTWNM,88393,1.1
02/28/1997,FXRTWNM,88630,1.1
03/31/1997,FXRTWNM,88789,1.11
04/30/1997,FXRTWNM,88949,1.11
05/31/1997,FXRTWNM,90008,1.12
06/30/1997,FXRTWNM,90025,1.12
07/31/1997,FXRTWNM,88770,1.11
08/31/1997,FXRTWNM,87793,1.09
09/30/1997,FXRTWNM,85752,1.07
10/31/1997,FXRTWNM,82920,1.03
11/30/1997,FXRTWNM,83135,1.04
12/31/1997,FXRTWNM,83502,0.96
01/31/1998,FXRTWNM,84030,0.97
02/28/1998,FXRTWNM,84011,0.97
03/31/1998,FXRTWNM,83615,0.96
04/30/1998,FXRTWNM,84032,0.97
05/31/1998,FXRTWNM,84446,0.97
06/30/1998,FXRTWNM,83286,0.96
07/31/1998,FXRTWNM,83607,0.96
08/31/1998,FXRTWNM,83666,0.96
09/30/1998,FXRTWNM,84247,0.97
10/30/1998,FXRTWNM,86558,0.99
11/30/1998,FXRTWNM,88074,1.01
12/31/1998,FXRTWNM,90341,0.96
01/29/1999,FXRTWNM,91920,0.98
02/26/1999,FXRTWNM,92616,0.99
03/31/1999,FXRTWNM,93005,0.99
04/30/1999,FXRTWNM,95120,1.02
05/31/1999,FXRTWNM,95704,1.02
06/30/1999,FXRTWNM,97704,1.04
07/30/1999,FXRTWNM,98596,1.05
08/31/1999,FXRTWNM,100130,1.07
09/30/1999,FXRTWNM,101652,1.09
10/31/1999,FXRTWNM,102679,1.1
11/30/1999,FXRTWNM,103539,1.11
12/31/1999,FXRTWNM,106200,1.08
01/31/2000,FXRTWNM,110693.5,1.13
02/28/2000,FXRTWNM,114274.1,1.17
02/29/2000,FXRTWNM,114274.1,1.17
03/31/2000,FXRTWNM,113641.7,1.16
04/30/2000,FXRTWNM,114287.6,1.17
05/31/2000,FXRTWNM,113748,1.16
06/30/2000,FXRTWNM,114464.2,1.17
07/31/2000,FXRTWNM,114149.9,1.16
08/31/2000,FXRTWNM,113654.8,1.16
09/30/2000,FXRTWNM,112282.5,1.15
10/31/2000,FXRTWNM,109662.7,1.12
11/30/2000,FXRTWNM,108839,1.11
12/31/2000,FXRTWNM,107360.4,0.69
01/31/2001,FXRTWNM,108671.9,0.7
02/28/2001,FXRTWNM,110698.4,0.71
03/31/2001,FXRTWNM,111234.3,0.71
04/30/2001,FXRTWNM,112252.7,0.72
05/31/2001,FXRTWNM,111233.3,0.71
06/30/2001,FXRTWNM,109716.2,0.7
07/31/2001,FXRTWNM,110705.4,0.71
08/31/2001,FXRTWNM,113755.4,0.73
09/30/2001,FXRTWNM,115811.8,0.74
10/31/2001,FXRTWNM,116829.6,0.75
11/30/2001,FXRTWNM,121765.9,0.78
12/31/2001,FXRTWNM,122807.4,0.7
01/31/2002,FXRTWNM,124218.5,0.71
02/28/2002,FXRTWNM,125610.3,0.72
03/31/2002,FXRTWNM,128620.8,0.74
04/30/2002,FXRTWNM,133534.7,0.77
05/31/2002,FXRTWNM,140433.5,0.81
06/30/2002,FXRTWNM,148873.4,0.85
07/31/2002,FXRTWNM,155899.7,0.89
08/31/2002,FXRTWNM,157068,0.9
09/30/2002,FXRTWNM,157661.8,0.91
10/31/2002,FXRTWNM,158255.2,0.91
11/30/2002,FXRTWNM,159756.4,0.92
12/31/2002,FXRTWNM,162301.2,1.03
01/31/2003,FXRTWNM,165493.3,1.06
02/28/2003,FXRTWNM,166984.6,1.06
03/31/2003,FXRTWNM,169287,1.08
04/30/2003,FXRTWNM,171291.8,1.09
05/31/2003,FXRTWNM,175902.9,1.12
06/30/2003,FXRTWNM,177350.8,1.13
07/31/2003,FXRTWNM,182868.6,1.17
08/31/2003,FXRTWNM,186322.6,1.19
09/30/2003,FXRTWNM,191251.1,1.22
10/31/2003,FXRTWNM,197291.5,1.26
11/30/2003,FXRTWNM,203523.6,1.3
12/31/2003,FXRTWNM,207340.4,1.9
01/31/2004,FXRTWNM,215632.1,1.97
02/29/2004,FXRTWNM,225508.6,2.06
03/31/2004,FXRTWNM,227228.8,2.08
04/30/2004,FXRTWNM,228349,2.09
05/31/2004,FXRTWNM,229700.1,2.1
06/30/2004,FXRTWNM,230787.9,2.11
07/31/2004,FXRTWNM,231093.8,2.12
08/31/2004,FXRTWNM,232302.3,2.13
09/30/2004,FXRTWNM,233703.2,2.14
10/31/2004,FXRTWNM,235743.3,2.16
11/30/2004,FXRTWNM,239857.9,2.2
12/31/2004,FXRTWNM,242477.8,2.09
01/31/2005,FXRTWNM,243470.4,2.1
02/28/2005,FXRTWNM,247357.8,2.13
03/31/2005,FXRTWNM,251854.7,2.17
04/30/2005,FXRTWNM,253362.5,2.18
05/31/2005,FXRTWNM,253872.6,2.19
06/30/2005,FXRTWNM,254308.9,2.19
07/31/2005,FXRTWNM,254253.6,2.19
08/31/2005,FXRTWNM,254781.4,2.2
09/30/2005,FXRTWNM,254436.5,2.19
10/31/2005,FXRTWNM,252694.7,2.18
11/30/2005,FXRTWNM,252461.4,2.18
12/31/2005,FXRTWNM,253970.8,2.11
01/31/2006,FXRTWNM,257986.5,2.14
02/28/2006,FXRTWNM,257662.6,2.14
03/31/2006,FXRTWNM,257737.3,2.14
04/30/2006,FXRTWNM,259735.7,2.16
05/31/2006,FXRTWNM,261650.8,2.17
06/30/2006,FXRTWNM,261055.7,2.17
07/31/2006,FXRTWNM,261077.8,2.17
08/31/2006,FXRTWNM,261727.1,2.17
09/30/2006,FXRTWNM,262254.3,2.18
10/31/2006,FXRTWNM,262526,2.18
11/30/2006,FXRTWNM,265858.2,2.21
12/31/2006,FXRTWNM,266864.6,2.12
01/31/2007,FXRTWNM,266681.8,2.12
02/28/2007,FXRTWNM,268703.8,2.14
03/31/2007,FXRTWNM,268204.4,2.13
04/30/2007,FXRTWNM,267266,2.13
05/31/2007,FXRTWNM,266419.7,2.12
06/30/2007,FXRTWNM,266773.9,2.12
07/31/2007,FXRTWNM,267016.4,2.12
08/31/2007,FXRTWNM,262102.1,2.08
09/30/2007,FXRTWNM,263679.5,2.1
10/31/2007,FXRTWNM,266672.8,2.12
11/30/2007,FXRTWNM,270847.5,2.15
12/31/2007,FXRTWNM,271063.8,2.03
01/31/2008,FXRTWNM,273577.9,2.05
02/29/2008,FXRTWNM,278605.2,2.08
03/31/2008,FXRTWNM,287642.8,2.15
04/30/2008,FXRTWNM,290149.9,2.17
05/30/2008,FXRTWNM,290839.2,2.18
05/31/2008,FXRTWNM,290839.2,2.18
06/30/2008,FXRTWNM,292181.5,2.19
07/31/2008,FXRTWNM,291668.4,2.18
08/31/2008,FXRTWNM,282833.2,2.12
09/30/2008,FXRTWNM,281870.1,2.11
10/31/2008,FXRTWNM,278859.4,2.09
11/30/2008,FXRTWNM,281392.2,2.11
12/31/2008,FXRTWNM,292441.2,2.23
01/31/2009,FXRTWNM,293393.9,2.24
02/28/2009,FXRTWNM,294886.5,2.25
03/31/2009,FXRTWNM,300834.7,2.29
04/30/2009,FXRTWNM,305373,2.33
05/31/2009,FXRTWNM,313380,2.39
06/30/2009,FXRTWNM,318303.9,2.43
07/31/2009,FXRTWNM,321834.5,2.45
08/31/2009,FXRTWNM,326163.5,2.49
09/30/2009,FXRTWNM,332994.3,2.54
10/31/2009,FXRTWNM,341979.9,2.61
11/30/2009,FXRTWNM,347957.6,2.65
12/31/2009,FXRTWNM,348945.3,2.7
01/31/2010,FXRTWNM,351451.9,2.72
02/28/2010,FXRTWNM,353459.6,2.74
03/31/2010,FXRTWNM,355758.7,2.75
04/30/2010,FXRTWNM,358277.4,2.77
05/31/2010,FXRTWNM,360825.8,2.79
06/30/2010,FXRTWNM,363083,2.81
07/31/2010,FXRTWNM,370831.9,2.87
08/31/2010,FXRTWNM,372782.3,2.89
09/30/2010,FXRTWNM,381246.8,2.95
10/31/2010,FXRTWNM,384584.3,2.98
11/30/2010,FXRTWNM,379984.3,2.94
12/31/2010,FXRTWNM,382739.1,2.72
01/31/2011,FXRTWNM,387855.6,2.76
02/28/2011,FXRTWNM,391439.9,2.78
03/31/2011,FXRTWNM,393381.8,2.8
04/30/2011,FXRTWNM,400313.7,2.85
05/31/2011,FXRTWNM,399446.1,2.84
06/30/2011,FXRTWNM,401088.9,2.85
07/31/2011,FXRTWNM,401528.2,2.86
08/31/2011,FXRTWNM,401061.2,2.85
09/30/2011,FXRTWNM,389918.4,2.77
10/31/2011,FXRTWNM,394080.8,2.8
11/30/2011,FXRTWNM,388705.5,2.76
12/31/2011,FXRTWNM,386276.7,2.71
01/31/2012,FXRTWNM,391041.2,2.74
02/29/2012,FXRTWNM,395165.6,2.77
03/31/2012,FXRTWNM,394607.3,2.77
04/30/2012,FXRTWNM,395809,2.78
05/31/2012,FXRTWNM,389993.4,2.73
06/30/2012,FXRTWNM,391956.8,2.75
07/31/2012,FXRTWNM,391825.4,2.75
08/30/2012,FXRTWNM,394951.5,2.77
08/31/2012,FXRTWNM,394951.5,2.77
09/30/2012,FXRTWNM,398689.2,2.8
10/31/2012,FXRTWNM,399950.4,2.8
11/30/2012,FXRTWNM,401687.6,2.82
12/31/2012,FXRTWNM,403901.6,2.75
01/31/2013,FXRTWNM,407291.8,2.77
02/28/2013,FXRTWNM,404802.1,2.76
03/31/2013,FXRTWNM,402604.7,2.74
04/30/2013,FXRTWNM,405913.5,2.77
05/31/2013,FXRTWNM,407330.5,2.78
06/30/2013,FXRTWNM,407322.9,2.78
07/31/2013,FXRTWNM,409840.1,2.79
08/31/2013,FXRTWNM,410110.3,2.79
09/30/2013,FXRTWNM,413342.3,2.82
10/31/2013,FXRTWNM,416336.8,2.84
11/30/2013,FXRTWNM,416290.8,2.84
12/31/2013,FXRTWNM,417545.1,2.73
01/31/2014,FXRTWNM,417666.4,2.74
02/28/2014,FXRTWNM,418715.6,2.74
03/31/2014,FXRTWNM,419935.8,2.75
04/30/2014,FXRTWNM,422233.7,2.76
05/31/2014,FXRTWNM,422385.5,2.77
06/30/2014,FXRTWNM,424190.9,2.78
07/31/2014,FXRTWNM,424391,2.78
08/31/2014,FXRTWNM,423789.8,2.78
09/30/2014,FXRTWNM,421402.7,2.76
10/31/2014,FXRTWNM,422180.7,2.76
11/30/2014,FXRTWNM,422164,2.76
12/31/2014,FXRTWNM,419670.6,2.58
01/31/2015,FXRTWNM,416575.1,2.56
02/28/2015,FXRTWNM,418496.9,2.57
03/31/2015,FXRTWNM,415346.6,2.55
04/30/2015,FXRTWNM,418844.4,2.58
05/31/2015,FXRTWNM,419620.9,2.58
06/30/2015,FXRTWNM,422081.4,2.6
07/31/2015,FXRTWNM,422620.9,2.6
08/31/2015,FXRTWNM,425460.2,2.62
09/30/2015,FXRTWNM,426994.2,2.63
10/31/2015,FXRTWNM,427439.9,2.63
11/30/2015,FXRTWNM,425265.1,2.62
12/31/2015,FXRTWNM,426691.6,2.5
01/31/2016,FXRTWNM,426635.6,2.5
02/29/2016,FXRTWNM,429473,2.52
03/31/2016,FXRTWNM,432271.1,2.53
04/30/2016,FXRTWNM,433858.2,2.54
05/31/2016,FXRTWNM,434099.3,2.55
06/30/2016,FXRTWNM,434217.4,2.55
07/31/2016,FXRTWNM,434749.8,2.55
08/31/2016,FXRTWNM,436525.2,2.56
09/30/2016,FXRTWNM,437391.4,2.56
10/31/2016,FXRTWNM,435917.9,2.56
11/30/2016,FXRTWNM,434993.3,2.55
12/31/2016,FXRTWNM,434844.8,2.48
01/31/2017,FXRTWNM,437236.8,2.49
02/28/2017,FXRTWNM,438306.4,2.5
03/31/2017,FXRTWNM,438172.8,2.5
04/30/2017,FXRTWNM,439079.6,2.5
05/31/2017,FXRTWNM,440912.9,2.51
06/30/2017,FXRTWNM,442606.3,2.52
07/31/2017,FXRTWNM,445123.1,2.54
08/31/2017,FXRTWNM,447099.8,2.55
09/30/2017,FXRTWNM,447894.7,2.55
