Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRTHAM,Thailand Total Foreign Exchange Reserves Excluding Gold,International Liquidity,United States Dollar,Thailand,,,,,,,National Currency,Millions,Stock,None,Monthly From Jan 1957 To Sep 2017<BR>,Source: World Bank,
Date,Ticker,Close,Percent_Gdp
01/31/1957,FXRTHAM,206.13,0.48
02/28/1957,FXRTHAM,211.13,0.49
03/31/1957,FXRTHAM,214.13,0.5
04/30/1957,FXRTHAM,215.13,0.5
05/31/1957,FXRTHAM,213.13,0.5
06/30/1957,FXRTHAM,213.13,0.5
07/31/1957,FXRTHAM,214.13,0.5
08/31/1957,FXRTHAM,215.13,0.5
09/30/1957,FXRTHAM,217.13,0.51
10/31/1957,FXRTHAM,215.13,0.5
11/30/1957,FXRTHAM,214.13,0.5
12/31/1957,FXRTHAM,220.13,0.5
01/31/1958,FXRTHAM,219.13,0.5
02/28/1958,FXRTHAM,223.13,0.51
03/31/1958,FXRTHAM,223.13,0.51
04/30/1958,FXRTHAM,219.13,0.5
05/31/1958,FXRTHAM,219.13,0.5
06/30/1958,FXRTHAM,218.13,0.5
07/31/1958,FXRTHAM,213.13,0.49
08/31/1958,FXRTHAM,221.13,0.5
09/30/1958,FXRTHAM,217.13,0.49
10/31/1958,FXRTHAM,226.13,0.52
11/30/1958,FXRTHAM,219.13,0.5
12/31/1958,FXRTHAM,218.13,0.48
01/31/1959,FXRTHAM,202.13,0.45
02/28/1959,FXRTHAM,202.13,0.45
03/31/1959,FXRTHAM,201.13,0.44
04/30/1959,FXRTHAM,198.13,0.44
05/31/1959,FXRTHAM,202.13,0.45
06/30/1959,FXRTHAM,204.13,0.45
07/31/1959,FXRTHAM,203.13,0.45
08/31/1959,FXRTHAM,200.13,0.44
09/30/1959,FXRTHAM,200.13,0.44
10/31/1959,FXRTHAM,209.25,0.46
11/30/1959,FXRTHAM,212.25,0.47
12/31/1959,FXRTHAM,215.25,0.45
01/31/1960,FXRTHAM,222.25,0.47
02/29/1960,FXRTHAM,223.25,0.47
03/31/1960,FXRTHAM,225.25,0.47
04/30/1960,FXRTHAM,228.25,0.48
05/31/1960,FXRTHAM,232.25,0.49
06/30/1960,FXRTHAM,236.25,0.49
07/31/1960,FXRTHAM,237.25,0.5
08/31/1960,FXRTHAM,244.25,0.51
09/30/1960,FXRTHAM,247.25,0.52
10/31/1960,FXRTHAM,252.25,0.53
11/30/1960,FXRTHAM,260.25,0.55
12/31/1960,FXRTHAM,267.25,0.5
01/31/1961,FXRTHAM,307.25,0.57
02/28/1961,FXRTHAM,290.25,0.54
03/31/1961,FXRTHAM,298.25,0.55
04/30/1961,FXRTHAM,299.25,0.55
05/31/1961,FXRTHAM,308.25,0.57
06/30/1961,FXRTHAM,311.25,0.58
07/31/1961,FXRTHAM,318.25,0.59
08/31/1961,FXRTHAM,322.25,0.6
09/30/1961,FXRTHAM,324.25,0.6
10/31/1961,FXRTHAM,326.25,0.6
11/30/1961,FXRTHAM,332.25,0.62
12/31/1961,FXRTHAM,350.26,0.59
